c_SigleDuCours,c_TitreDuCours,c_TypeDuCours,c_NombreDeCrédits,c_ChargeHebdomadaire,c_DépartementResponsable
"ADM 2220","Pratique de la gestion dans le domaine de la santé et des services sociaux","Cours sans examen",3,"9 heures par semaine",Administration
"ADM 1012","Le management du changement","Cours avec examen",3,"9 heures par semaine",Administration
"ADM 4020","Gestion du rendement","Cours avec examen",3,"9 heures par semaine",Administration
"COM 3030","La communication interculturelle: une introduction","Cours avec examen",3,"9 heures par semaine",Administration
"FRA 3006","Rédaction administrative","Cours sans examen",3,"9 heures par semaine",Administration
"RIN 1012","Droit et pratique des conventions collectives","Cours sans examen",3,"9 heures par semaine",Administration
"RIN 1013","Problèmes de santé au travail","Cours sans examen",3,"9 heures par semaine",Administration
"ADM 1013","Comportement organisationnel","Cours avec examen",3,"9 heures par semaine",Administration
"ADM 2007","Introduction au marketing","Cours avec examen",3,"9 heures par semaine",Administration
"SCO 1205","Initiation à la comptabilité financière","Cours avec examen",3,"9 heures par semaine",Administration
"ADM 1015","Gestion des ressources humaines","Cours avec examen",3,"9 heures par semaine",Administration
"ADM 2006","Les systèmes d'information de gestion","Cours avec examen",3,"9 heures par semaine",Administration
"ECO 1300","Analyse microéconomique","Cours avec examen",3,"9 heures par semaine",Administration
"DRT 1060","Droit des affaires","Cours avec examen",3,"9 heures par semaine",Administration
"FIN 1020","Administration financière 1","Cours avec examen",3,"9 heures par semaine",Administration
"ADM 1002","Initiation à la gestion","Cours avec examen",3,"9 heures par semaine",Administration
"ADM 3011","Éthique et responsabilité sociale des entreprises","Cours avec examen",3,"9 heures par semaine",Administration
"ECO 2400","Analyse macroéconomique","Cours avec examen",3,"9 heures par semaine",Administration
"ADM 1420","Gestion des opérations","Cours avec examen",3,"9 heures par semaine",Administration
"MQT 2001","Statistiques appliquées à la gestion","Cours avec examen",3,"9 heures par semaine",Administration
"ADM 1402","Entreprise et société","Cours avec examen",3,"9 heures par semaine",Administration
"ADM 4007","Analyse stratégique de l'entreprise","Cours avec examen",3,"9 heures par semaine",Administration
"ADM 1400","Théories de l'organisation","Cours sans examen",3,"9 heures par semaine",Administration
"ADM 3028","Len enjeux éthiques, légaux et sociétaux des TI","Cours avec examen",3,"9 heures par semaine",Administration
"SCO 2006","Contrôle de gestion","Cours avec examen",3,"9 heures par semaine",Administration
"ADM 1450","Initiation à la gestion de projets","Cours avec examen",3,"9 heures par semaine",Administration
"ADM 1012","Le management du changement","Cours avec examen",3,"9 heures par semaine",Administration
"ADM 3012","Gestion de la diversité culturelle","Cours avec examen",3,"9 heures par semaine",Administration
"ADM 1400","Théories de l'organisation","Cours sans examen",3,"9 heures par semaine",Administration
"ADM 1018",Leadership,"Cours avec examen",3,"9 heures par semaine",Administration
"ADM 3051","Portfolio de formation en management","Cours sans examen",3,"9 heures par semaine",Administration
"ADM 1404","Travail et société","Cours avec examen",3,"9 heures par semaine",Administration
"ADM 2014","Devenir entrepreneur","Cours sans examen",3,"9 heures par semaine",Administration
"ADM 2015","Comportement du consommateur","Cours avec examen",3,"9 heures par semaine",Administration
"ADM 3013","Gestion de la responsabilité sociale des entreprises","A définir prochainement",3,"9 heures par semaine",Administration
"ADM 4020","Gestion du rendement","Cours avec examen",3,"9 heures par semaine",Administration
"COM 1013","Communication et structures organisationnelles","Cours avec examen",3,"9 heures par semaine",Administration
"COM 5002","Culture organisationnelle","Cours avec examen",3,"9 heures par semaine",Administration
"COM 5003","Organisation, pouvoir et communication","Cours avec examen",3,"9 heures par semaine",Administration
"RIN 4120","Innovation, organisation du travail et gestion des ressources humaines","Cours avec examen",3,"9 heures par semaine",Administration
"ENP 7149","Structuires organisationnelles et processus de travail - ENAP","Information manquante",3,"9 heures par semaine",Administration
"ENP 7303","Management des organisations publiques - ENAP","Information manquante",3,"9 heures par semaine",Administration
"ENP 7505","Principes et enjeux de l'administration publique - ENAP","Information manquante",3,"9 heures par semaine",Administration
"ADM 4010","Stratégie d'entreprise","Cours avec examen",3,"9 heures par semaine",Administration
"ADM 4051","Intervention en management","Cours sans examen",3,"9 heures par semaine",Administration
"ADM 4061","Observation en management","Cours sans examen",3,"9 heures par semaine",Administration
"ADM 1013","Comportement organisationnel","Cours avec examen",3,"9 heures par semaine",Administration
"ADM 2007","Introduction au marketing","Cours avec examen",3,"9 heures par semaine",Administration
"SCO 1205","Initiation à la comptabilité financière","Cours avec examen",3,"9 heures par semaine",Administration
"ADM 1015","Gestion des ressources humaines","Cours avec examen",3,"9 heures par semaine",Administration
"ADM 2006","Les systèmes d'information de gestion","Cours avec examen",3,"9 heures par semaine",Administration
"ECO 1300","Analyse microéconomique","Cours avec examen",3,"9 heures par semaine",Administration
"DRT 1060","Droit des affaires","Cours avec examen",3,"9 heures par semaine",Administration
"FIN 1020","Administration financière 1","Cours avec examen",3,"9 heures par semaine",Administration
"ADM 1002","Initiation à la gestion","Cours avec examen",3,"9 heures par semaine",Administration
"ADM 3011","Éthique et responsabilité sociale des entreprises","Cours avec examen",3,"9 heures par semaine",Administration
"ECO 2400","Analyse macroéconomique","Cours avec examen",3,"9 heures par semaine",Administration
"ADM 1420","Gestion des opérations","Cours avec examen",3,"9 heures par semaine",Administration
"MQT 2001","Statistiques appliquées à la gestion","Cours avec examen",3,"9 heures par semaine",Administration
"ADM 1402","Entreprise et société","Cours avec examen",3,"9 heures par semaine",Administration
"ADM 4007","Analyse stratégique de l'entreprise","Cours avec examen",3,"9 heures par semaine",Administration
"ADM 1400","Théories de l'organisation","Cours sans examen",3,"9 heures par semaine",Administration
"ADM 3028","Len enjeux éthiques, légaux et sociétaux des TI","Cours avec examen",3,"9 heures par semaine",Administration
"SCO 2006","Contrôle de gestion","Cours avec examen",3,"9 heures par semaine",Administration
"ADM 2015","Comportement du consommateur","Cours avec examen",3,"9 heures par semaine",Administration
"ADM 2009","Marketing responsable","Cours avec examen",3,"9 heures par semaine",Administration
"ADM 2112","Recherche marketing","Cours avec examen",3,"9 heures par semaine",Administration
"ADM 2116","Stratégie marketing","Cours avec examen",3,"9 heures par semaine",Administration
"ADM 2017","Marketing des commerces de détail et expérience client","Cours avec examen",3,"9 heures par semaine",Administration
"ADM 2013","Publicité et promotion pour les entreprises de services","Cours avec examen",3,"9 heures par semaine",Administration
"ADM 3052","Portfolio de formation en marketing","Cours sans examen",3,"9 heures par semaine",Administration
"ADM 1450","Initiation à la gestion de projets","Cours avec examen",3,"9 heures par semaine",Administration
"ADM 2016","Gestion de la relation de vente","Cours avec examen",3,"9 heures par semaine",Administration
"ADM 2021","Marketing international","Cours avec examen",3,"9 heures par semaine",Administration
"ADM 3012","Gestion de la diversité culturelle","Cours avec examen",3,"9 heures par semaine",Administration
"ADM 9001","Bâtir une entreprise: des connaissances et des méthodes","Cours sans examen",3,"9 heures par semaine",Administration
"COM 5000","Communication organisationnelle","Cours avec examen",3,"9 heures par semaine",Administration
"RPL 2003","Introduction aux relations publiques","Cours avec examen",3,"9 heures par semaine",Administration
"RPL 2004","Le plan de communication","Cours avec examen",3,"9 heures par semaine",Administration
"ADM 4010","Stratégie d'entreprise","Cours avec examen",3,"9 heures par semaine",Administration
"ADM 4053","Intervention en marketing","Cours sans examen",3,"9 heures par semaine",Administration
"ADM 4063","Observation en marketing","Cours sans examen",3,"9 heures par semaine",Administration
"ADM 6202","Gestion de la créativité","Cours sans examen",3,"9 heures par semaine",Administration
"ADM 6205","Gestion de projets et créativité","Cours sans examen",3,"9 heures par semaine",Administration
"ADM 6216","Leadership et travail d'équipe","Cours sans examen",3,"9 heures par semaine",Administration
"ADM 6218","Gestion des carrières créatives","Cours sans examen",3,"9 heures par semaine",Administration
"ADM 6220","Gestion, territoire et créativité","Cours sans examen",3,"9 heures par semaine",Administration
"ADM 6404","Performance et innovation dans les services de santé et services sociaux","Cours sans examen",3,"9 heures par semaine",Administration
"ADM 6410","Acquisition des habilétés de gestion et interdisciplinarité en santé","Cours sans examen",3,"9 heures par semaine",Administration
"ADM 6412","Changement dans les organisations de santé et de services sociaux","Cours sans examen",3,"9 heures par semaine",Administration
"ADM 6415","Activité de synthèse et d'intégration","Cours sans examen",3,"9 heures par semaine",Administration
"ADM 6216","Leadership et travail d'équipe","Cours sans examen",3,"9 heures par semaine",Administration
"ADM 6506","Gestion des conflits en contexte de projet","Cours sans examen",3,"9 heures par semaine",Administration
"ADM 6508","Management et transfert des connaissances","Cours sans examen",3,"9 heures par semaine",Administration
"SAM 4250","Intervention communautaire","Cours sans examen",3,"9 heures par semaine",Administration
"SAM 4320","Histoire de la prise en charge des troubles mentaux au Québec","Cours sans examen",3,"9 heures par semaine",Administration
"RPL 2003","Introduction aux relations publiques","Cours avec examen",3,"9 heures par semaine",Communication
"RPL 2004","Le plan de communication","Cours avec examen",3,"9 heures par semaine",Communication
"RPL 2005","Théories et modèles de pratique en relations publiques","Cours avec examen",3,"9 heures par semaine",Communication
"RPL 2006","Relations publiques et gestion de crise","Cours avec examen",3,"9 heures par semaine",Communication
"RPL 2008","Pratiques éthiques en relations publiques","Cours avec examen",3,"9 heures par semaine",Communication
"COM 3000","Droits et enjeux de la communication","Cours avec examen",3,"9 heures par semaine",Communication
"COM 3023","Déontologie et éthique de la production de l'information","Cours sans examen",3,"9 heures par semaine",Communication
"COM 3028","Éducation aux médias et littérature médiatique","Cours avec examen",3,"9 heures par semaine",Communication
"Cours Variés","Des cours dont la sigle de cours sont les suivantes: COM, RPL ou AVM (sous réserve des particularités propres à chaque cours et des règlements pédagogiques particuliers).","Cours avec ou sans examen",3,"9 heures par semaine",Communication
"COM 3000","Droits et enjeux de la communication","Cours avec examen",3,"9 heures par semaine",Communication
"SCS 2013","Documentation et rédaction en sciences sociales","Cours sans examen",3,"9 heures par semaine",Communication
"COM 3020","Médiax, technologies et réseaux","Cours sans examen",3,"9 heures par semaine",Communication
"COM 3019","Analyse critique des médias socionumériques","Cours sans examen",3,"9 heures par semaine",Communication
"COM 4020","Activité de synthèse ","Cours sans examen",3,"9 heures par semaine",Communication
"COM 2005","Cadre politique et institutionnel de la communication","Cours sans examen",3,"9 heures par semaine",Communication
"COM 3023","Déontologie et éthique de la production de l'information","Cours sans examen",3,"9 heures par semaine",Communication
"COM 3028","Éducation aux médias et littérature médiatique","Cours avec examen",3,"9 heures par semaine",Communication
"AVM 1001","Introduction aux arts médiatiques","Cours sans examen",3,"9 heures par semaine",Communication
"COM 1001","Théories de la communication 1","Cours avec examen",3,"9 heures par semaine",Communication
"COM 2000","Histoire des communications","Cours avec examen",3,"9 heures par semaine",Communication
"COM 2007","Télécommunications, déréglementation et nouveaux services","Cours avec examen",3,"9 heures par semaine",Communication
"COM 5000","Communication organisationnelle","Cours avec examen",3,"9 heures par semaine",Communication
"PSY 3010","Psychologie du travail et des organisations","Cours avec examen",3,"9 heures par semaine",Communication
"COM 1013","Communication et structures organisationnelles","Cours avec examen",3,"9 heures par semaine",Communication
"COM 5002","Culture organisationnelle","Cours avec examen",3,"9 heures par semaine",Communication
"COM 4011","Projet d'intégration","Cours sans examen",3,"9 heures par semaine",Communication
"ADM 3011","Éthique et responsabilité sociale des entreprises","Cours avec examen",3,"9 heures par semaine",Communication
"COM 3000","Droits et enjeux de la communication","Cours avec examen",3,"9 heures par semaine",Communication
"ADM 1002","Initiation à la gestion","Cours avec examen",3,"9 heures par semaine",Communication
"ADM 1012","Le management du changement","Cours avec examen",3,"9 heures par semaine",Communication
"ADM 1400","Théories de l'organisation","Cours sans examen",3,"9 heures par semaine",Communication
"ADM 1450","Initiation à la gestion de projets","Cours avec examen",3,"9 heures par semaine",Communication
"ADM 2006","Les systèmes d'information de gestion","Cours avec examen",3,"9 heures par semaine",Communication
"COM 1021","Techniques d'animation et d'intervention","Cours avec examen",3,"9 heures par semaine",Communication
"COM 3019","Analyse critique des médias socionumériques","Cours sans examen",3,"9 heures par semaine",Communication
"COM 5003","Organisation, pouvoir et communication","Cours avec examen",3,"9 heures par semaine",Communication
"COM 5008","Communication et environnements organisationnels","Cours avec examen",3,"9 heures par semaine",Communication
"FRA 3008","Écriture en communication","Cours sans examen",3,"9 heures par semaine",Communication
"RPL 2004","Le plan de communication","Cours avec examen",3,"9 heures par semaine",Communication
"SOC 1012","Méthodologie de la recherche sociale 1","Cours sans examen",3,"9 heures par semaine",Communication
"RPL 2003","Introduction aux relations publiques","Cours avec examen",3,"9 heures par semaine",Communication
"RPL 2004","Le plan de communication","Cours avec examen",3,"9 heures par semaine",Communication
"RPL 2005","Théories et modèles de pratique en relations publiques","Cours avec examen",3,"9 heures par semaine",Communication
"RPL 2006","Relations publiques et gestion de crise","Cours avec examen",3,"9 heures par semaine",Communication
"RPL 2008","Pratiques éthiques en relations publiques","Cours avec examen",3,"9 heures par semaine",Communication
"ADM 1013","Comportement organisationnel","Cours avec examen",3,"9 heures par semaine",Communication
"ADM 1450","Initiation à la gestion de projets","Cours avec examen",3,"9 heures par semaine",Communication
"ADM 2007","Introduction au marketing","Cours avec examen",3,"9 heures par semaine",Communication
"ADM 2013","Publicité et promotion pour les entreprises de services","Cours avec examen",3,"9 heures par semaine",Communication
"COM 1021","Techniques d'animation et d'intervention","Cours avec examen",3,"9 heures par semaine",Communication
"COM 3030","La communication interculturelle: une introduction","Cours avec examen",3,"9 heures par semaine",Communication
"COM 5000","Communication organisationnelle","Cours avec examen",3,"9 heures par semaine",Communication
"COM 5003","Organisation, pouvoir et communication","Cours avec examen",3,"9 heures par semaine",Communication
"COM 5004","Techniques et dynamique de la fonction "conseil"""","Cours sans examen",3,"9 heures par semaine",Communication
"COM 5020","Communication promotionnelle électronique","Cours sans examen",3,"9 heures par semaine",Communication
"EUT 4138","Gestion des événements et congrès","Cours avec examen",3,"9 heures par semaine",Communication
"FRA 3008","Écriture en communication","Cours sans examen",3,"9 heures par semaine",Communication
"RPL 2010","Stage en relations publiques","Cours sans examen",3,"9 heures par semaine",Communication
"COM 1000","Introduction à la communication","Cours avec examen",3,"9 heures par semaine",Communication
"COM 1001","Théories de la communication 1","Cours avec examen",3,"9 heures par semaine",Communication
"COM 2014","Pratiques de la recherche en communication","Cours sans examen",3,"9 heures par semaine",Communication
"COM 3000","Droits et enjeux de la communication","Cours avec examen",3,"9 heures par semaine",Communication
"COM 3028","Éducation aux médias et littérature médiatique","Cours avec examen",3,"9 heures par semaine",Communication
"COM 4001","Projet d'intégration","Cours sans examen",3,"9 heures par semaine",Communication
"COM 5000","Communication organisationnelle","Cours avec examen",3,"9 heures par semaine",Communication
"SOC 1012","Méthodologie de la recherche sociale 1","Cours sans examen",3,"9 heures par semaine",Communication
"SOC 1014","Méthodologie de la recherche sociale 2","Cours avec examen",3,"9 heures par semaine",Communication
"COM 2000","Histoire des communications","Cours avec examen",3,"9 heures par semaine",Communication
"COM 2005","Cadre politique et institutionnel de la communication","Cours sans examen",3,"9 heures par semaine",Communication
"COM 2007","Télécommunications, déréglementation et nouveaux services","Cours avec examen",3,"9 heures par semaine",Communication
"COM 3019","Analyse critique des médias socionumériques","Cours sans examen",3,"9 heures par semaine",Communication
"COM 3020","Médiax, technologies et réseaux","Cours sans examen",3,"9 heures par semaine",Communication
"COM 3023","Déontologie et éthique de la production de l'information","Cours sans examen",3,"9 heures par semaine",Communication
"COM 3030","La communication interculturelle: une introduction","Cours avec examen",3,"9 heures par semaine",Communication
"COM 4025","Lectures dirigées","Cours sans examen",3,"9 heures par semaine",Communication
"ADM 1002","Initiation à la gestion","Cours avec examen",3,"9 heures par semaine",Communication
"ADM 1450","Initiation à la gestion de projets","Cours avec examen",3,"9 heures par semaine",Communication
"AVM 1001","Introduction aux arts médiatiques","Cours sans examen",3,"9 heures par semaine",Communication
"ECO 2011","Économie du Québec","Cours avec examen",3,"9 heures par semaine",Communication
"PHI 3009","Introduction à la logique et aux probabilités","Cours avec examen",3,"9 heures par semaine",Communication
"POL 1010","Introductioon aux relations internationales","Cours sans examen",3,"9 heures par semaine",Communication
"PSY 3010","Psychologie du travail et des organisations","Cours avec examen",3,"9 heures par semaine",Communication
"SOC 3003","Soociologie des réseaux sociaux","Cours avec examen",3,"9 heures par semaine",Communication
"SOC 4002","Sociétés industrielle et postindustrielle","Cours avec examen",3,"9 heures par semaine",Communication
"ADM 1400","Théories de l'organisation","Cours sans examen",3,"9 heures par semaine",Communication
"COM 5003","Organisation, pouvoir et communication","Cours avec examen",3,"9 heures par semaine",Communication
"COM 5004","Techniques et dynamique de la fonction "conseil"""","Cours sans examen",3,"9 heures par semaine",Communication
"ADM 2006","Les systèmes d'information de gestion","Cours avec examen",3,"9 heures par semaine",Communication
"COM 1013","Communication et structures organisationnelles","Cours avec examen",3,"9 heures par semaine",Communication
"COM 1021","Techniques d'animation et d'intervention","Cours avec examen",3,"9 heures par semaine",Communication
"COM 5002","Culture organisationnelle","Cours avec examen",3,"9 heures par semaine",Communication
"COM 5005","Méthodes de planification de la communication organisationnelle","Cours avec examen",3,"9 heures par semaine",Communication
"COM 5008","Communication et environnements organisationnels","Cours avec examen",3,"9 heures par semaine",Communication
"COM 5022","Communication électronique, et dynamique organisationnelle","Cours avec examen",3,"9 heures par semaine",Communication
"RPL 2003","Introduction aux relations publiques","Cours avec examen",3,"9 heures par semaine",Communication
"RPL 2004","Le plan de communication","Cours avec examen",3,"9 heures par semaine",Communication
"RPL 2006","Relations publiques et gestion de crise","Cours avec examen",3,"9 heures par semaine",Communication
"ADM 2007","Introduction au marketing","Cours avec examen",3,"9 heures par semaine",Communication
"COM 2001","La nouvelle communication","Cours sans examen",3,"9 heures par semaine",Communication
"COM 5020","Communication promotionnelle électronique","Cours sans examen",3,"9 heures par semaine",Communication
"EUT 4138","Gestion des événements et congrès","Cours avec examen",3,"9 heures par semaine",Communication
"FRA 3008","Écriture en communication","Cours sans examen",3,"9 heures par semaine",Communication
"RPL 2005","Théories et modèles de pratique en relations publiques","Cours avec examen",3,"9 heures par semaine",Communication
"RPL 2008","Pratiques éthiques en relations publiques","Cours avec examen",3,"9 heures par semaine",Communication
"SCO 1205","Initiation à la comptabilité financière","Cours avec examen",3,"9 heures par semaine",Comptabilité
"SCO 2001","Initiation à la comptabilité ed management","Cours avec examen",3,"9 heures par semaine",Comptabilité
"SCO 2205","Présentation et analyse des états financiers","Cours avec examen",3,"9 heures par semaine",Comptabilité
"SCO 3202","Comptabilité intermédiaire 1","Cours avec examen",3,"9 heures par semaine",Comptabilité
"SCO 3212","Comptabilité intermédiaire 2","Cours avec examen",3,"9 heures par semaine",Comptabilité
"FIN 1020","Administration financière 1","Cours avec examen",3,"9 heures par semaine",Comptabilité
"FIN 2020","Administration financière 2","Cours avec examen",3,"9 heures par semaine",Comptabilité
"SCO 1205","Initiation à la comptabilité financière","Cours avec examen",3,"9 heures par semaine",Comptabilité
"SCO 2205","Présentation et analyse des états financiers","Cours avec examen",3,"9 heures par semaine",Comptabilité
"SCO 6900","Séminaire en information financière","Cours avec examen",3,"9 heures par semaine",Comptabilité
"SCO 6901","Séminaire en comptabilité de management et gestion de performance","Cours avec examen",3,"9 heures par semaine",Comptabilité
"SCO 6903","Séminaire en compatbilité et décisions financières","Cours avec examen",3,"9 heures par semaine",Comptabilité
"SCO 6904","Séminaire en certification","Cours avec examen",3,"9 heures par semaine",Comptabilité
"SCO 6908","Séminaire en fiscalité","Cours avec examen",3,"9 heures par semaine",Comptabilité
"SCO 6910","Module 1 en information financière","Cours avec examen",3,"9 heures par semaine",Comptabilité
"SCO 6911","Module 1 en  comptabilité de management","Cours avec examen",3,"9 heures par semaine",Comptabilité
"SCO 6913","Module 1 en comptabilité des décisions financières","Cours avec examen",3,"9 heures par semaine",Comptabilité
"SCO 6914","Module 1 en certification","Cours avec examen",3,"9 heures par semaine",Comptabilité
"SCO 6918","Module 1 en fiscalité","Cours avec examen",3,"9 heures par semaine",Comptabilité
"SCO 6920","Module 2 en information financière","Cours avec examen",3,"9 heures par semaine",Comptabilité
"SCO 6921","Module 2 en  comptabilité de management","Cours avec examen",3,"9 heures par semaine",Comptabilité
"SCO 6924","Module 2 en certification","Cours avec examen",3,"9 heures par semaine",Comptabilité
"SCO 6928","Module 2 en fiscalité","Cours avec examen",3,"9 heures par semaine",Comptabilité
"SCO 6930","Module 3 en information financière","Cours avec examen",3,"9 heures par semaine",Comptabilité
"ADM 1002","Initiation à la gestion","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"DRT 1060","Droit des affaires","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"FIN 1020","Administration financière 1","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"SCO 1060","Fiscalité 1","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"SCO 1205","Initiation à la comptabilité financière","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"SCO 2001","Initiation à la comptabilité ed management","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"SCO 2205","Présentation et analyse des états financiers","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"ADM 1013","Comportement organisationnel","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"ADM 1015","Gestion des ressources humaines","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"ADM 1400","Théories de l'organisation","Cours sans examen",3,"9 heures par semaine","Comptabilité "
"ADM 2006","Les systèmes d'information de gestion","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"ADM 2007","Introduction au marketing","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"DRT 1062","Gouvernance de l'entreprise et responsabilités juridiques des administrateurs","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"ECO 1300","Analyse microéconomique","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"ECO 2400","Analyse macroéconomique","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"FIN 2020","Administration financière 2","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"MQT 2001","Statistiques appliquées à la gestion","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"SCO 1065","Fiscalité 2","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"SCO 3001","Comptabilité de management et contr[ole ","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"FIN 2022","Analyse financière et gestion du fonds de roulement","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"SCO 1065","Fiscalité 2","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"SCO 3001","Comptabilité de management et contr[ole ","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"SCO 3202","Comptabilité intermédiaire 1","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"SCO 3212","Comptabilité intermédiaire 2","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"SCO 3214","Gouvernance d'entreprise: aspects comptables et financiers","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"SCO 4001","Certification et éthique professionnelle","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"ADM 3028","Len enjeux éthiques, légaux et sociétaux des TI","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"ADM 4007","Analyse stratégique de l'entreprise","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"ECO 1300","Analyse microéconomique","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"ECO 2400","Analyse macroéconomique","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"FIN 1932","Fonds d'inverstissement et produits finenciers","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"FIN 1936","Valeurs mobilières et gestion de portefeuille","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"FIN 2020","Administration financière 2","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"FIN 2024","Évaluation d'entreprise","Cours sans examen",3,"9 heures par semaine","Comptabilité "
"FIN 2301","Paradis fiscaux et finance offshore","Cours sans examen",3,"9 heures par semaine","Comptabilité "
"ADM 1013","Comportement organisationnel","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"ADM 2007","Introduction au marketing","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"SCO 1205","Initiation à la comptabilité financière","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"ADM 1015","Gestion des ressources humaines","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"ADM 2006","Les systèmes d'information de gestion","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"ECO 1300","Analyse microéconomique","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"DRT 1060","Droit des affaires","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"FIN 1020","Administration financière 1","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"ADM 1002","Initiation à la gestion","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"ADM 3011","Éthique et responsabilité sociale des entreprises","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"ECO 2400","Analyse macroéconomique","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"ADM 1420","Gestion des opérations","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"MQT 2001","Statistiques appliquées à la gestion","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"ADM 1402","Entreprise et société","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"ADM 4007","Analyse stratégique de l'entreprise","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"ADM 1400","Théories de l'organisation","Cours sans examen",3,"9 heures par semaine","Comptabilité "
"ADM 3028","Len enjeux éthiques, légaux et sociétaux des TI","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"FIN 1936","Valeurs mobilières et gestion de portefeuille","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"FIN 2020","Administration financière 2","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"FIN 2022","Analyse financière et gestion du fonds de roulement","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"FIN 2024","Évaluation d'entreprise","Cours sans examen",3,"9 heures par semaine","Comptabilité "
"FIN 3120","Éléments d'analyse du crédit productif en microfinance","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"SCO 1060","Fiscalité 1","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"SCO 2001","Initiation à la comptabilité ed management","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"SCO 3001","Comptabilité de management et contr[ole ","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"SCO 3202","Comptabilité intermédiaire 1","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"SCO 3212","Comptabilité intermédiaire 2","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"SCO 3214","Gouvernance d'entreprise: aspects comptables et financiers","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"ADM 1450","Initiation à la gestion de projets","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"ADM 3013","Gestion de la responsabilité sociale des entreprises","A définir prochainement",3,"9 heures par semaine","Comptabilité "
"DRT 1062","Gouvernance de l'entreprise et responsabilités juridiques des administrateurs","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"ECO 2011","Économie du Québec","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"FIN 1932","Fonds d'inverstissement et produits finenciers","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"FIN 2301","Paradis fiscaux et finance offshore","Cours sans examen",3,"9 heures par semaine","Comptabilité "
"SCO 1065","Fiscalité 2","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"SCO 2205","Présentation et analyse des états financiers","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"SCO 4001","Certification et éthique professionnelle","Cours avec examen",3,"9 heures par semaine","Comptabilité "
"DRT 1060","Droit des affaires","Cours avec examen",3,"9 heures par semaine",Droit
"DRT 1062","Gouvernance de l'entreprise et responsabilités juridiques des administrateurs","Cours avec examen",3,"9 heures par semaine",Droit
"DRT 1080","Droit du travail au Québec","Cours avec examen",3,"9 heures par semaine",Droit
"DRT 1910","Aspects juridiques pour planificateurs financiers","Cours avec examen",3,"9 heures par semaine",Droit
