c_SigleDuCours,c_TitreDuCours,c_TypeDuCours
"FRA 2130","Trajets interculturels en français 2","Cours sans examen"
"LIT 4001","Littérature de masse","Cours sans examen"
"LIT 4003","Bandde dessinée et figuration narrative","Cours sans examen"
"LIT 4004","Littérature pour enfants","Cours sans examen"
"LIT 4005","Le roman d'amour","Cours sans examen"
"LIT 4006","Conteurs et nouvelistes québécois :  de Fred Pellerin à Louis Fréchette ","Cours sans examen"
"LIN 2001","Langue française: histoire générale et spécifique québécoise","Cours sans examen"
"LIN 3001","Le langage et ses usages","Cours sans examen"
"LIN 3004","Lexicologie et lexicographie de la languye française","Cours sans examen"
"ANG 4005","Effective Written Communication","Cours sans examen"
"ANG 4020","Advanced Written and Oral Productions","Cours sans examen"
"LIN 4002","Contemporary English Canadian Language and Culture","Cours sans examen"
"LIN 4015","Second Language Learning and Bilingualism","Cours sans examen"
"LIN 4008","Individual Reflective Project","Cours sans examen"
"LIN 4125","Teaching English as a Secind Language in Schools","Cours sans examen"
"LIN 4128","Teaching English as a Secind Language to Adults","Cours sans examen"
"LIN 4130","Reflexive Second Language Teaching","Cours sans examen"
"SIM 1001","Stage d'immersion linguistique et interculturelle de langue seconde, à distance","Cours sans examen"
"ESP 3001","Español intermedio","Cours sans examen"
"ESP 4010","Redacción especializada en español","Cours sans examen"
"ESP 4035","Reducción de textos","Cours sans examen"
"ESP 4012","Sociolingüística del mundo hispánico","Cours sans examen"
"LIN 4016","Aprendizaje de una segunda lengua y bilingüismo","Cours sans examen"
"FRA 3008","Écriture en communication","Cours sans examen"
"FRA 3008","Écriture en communication","Cours sans examen"
"SCS 2013","Documentation et rédaction en sciences sociales","Cours sans examen"
"FRA 3006","Rédaction administrative","Cours sans examen"
"LIN 2003","Nouvelles pratiques du français","Cours sans examen"
"LIN 3004","Lexicologie et lexicographie de la languye française","Cours sans examen"
"PHI 2015","Pensée critique et argumentation","Cours sans examen"
"ANG 4005","Effective Written Communication","Cours sans examen"
"ANG 4020","Advanced Written and Oral Productions","Cours sans examen"
"ESP 4010","Redacción especializada en español","Cours sans examen"
"TRA 4035","Reducción de textos","Cours sans examen"
"COM 2001","La nouvelle communication","Cours sans examen"
"LIT 4003","Bandde dessinée et figuration narrative","Cours sans examen"
"COM 3023","Déontologie et éthique de la production de l'information","Cours sans examen"
"LIT 4101","Création littéraire 1: Pastiches et exercices de style","Cours sans examen"
"LIT 4102","Création littéraire 2: l'essai","Cours sans examen"
"PHI 2015","Pensée critique et argumentation","Cours sans examen"
"LIT 4001","Littérature de masse","Cours sans examen"
"LIT 4003","Bandde dessinée et figuration narrative","Cours sans examen"
"LIT 4004","Littérature pour enfants","Cours sans examen"
"LIT 4005","Le roman d'amour","Cours sans examen"
"LIT 4006","Conteurs et nouvelistes québécois :  de Fred Pellerin à Louis Fréchette ","Cours sans examen"
"ANG 4005","Effective Written Communication","Cours sans examen"
"ESP 4010","Redacción especializada en español","Cours sans examen"
"FRA 3006","Rédaction administrative","Cours sans examen"
"FRA 3007","Rédaction scientifique et technique","Cours sans examen"
"FRA 3008","Écriture en communication","Cours sans examen"
"LIN 2003","Nouvelles pratiques du français","Cours sans examen"
"LIN 3004","Lexicologie et lexicographie de la languye française","Cours sans examen"
"SCS 2013","Documentation et rédaction en sciences sociales","Cours sans examen"
"TRA 4010","La traduction vers le français : une introduction","Cours sans examen"
"TRA 4030","Outils, ressources et environnements d'aide à la traduction","Cours sans examen"
"LIN 2001","Langue française: histoire générale et spécifique québécoise","Cours sans examen"
"SCI 1021","Sciences, techniques et civilisations: de l'Antiquité à la Rennaissance","Cours sans examen"
"LIN 2001","Langue française: histoire générale et spécifique québécoise","Cours sans examen"
"LIN 3001","Le langage et ses usages","Cours sans examen"
"LIN 3004","Lexicologie et lexicographie de la languye française","Cours sans examen"
"LIT 4001","Littérature de masse","Cours sans examen"
"LIT 4004","Littérature pour enfants","Cours sans examen"
"LIT 4005","Le roman d'amour","Cours sans examen"
"LIT 4006","Conteurs et nouvelistes québécois :  de Fred Pellerin à Louis Fréchette ","Cours sans examen"
"LIT 4007","Roman et mondialisation","Cours sans examen"
"LIT 4101","Création littéraire 1: Pastiches et exercices de style","Cours sans examen"
"ESP 3001","Español intermedio","Cours sans examen"
"ESP 4012","Sociolingüística del mundo hispánico","Cours sans examen"
"LIN 4016","Aprendizaje de una segunda lengua y bilingüismo","Cours sans examen"
"ANG 4005","Effective Written Communication","Cours sans examen"
"ANG 4020","Advanced Written and Oral Productions","Cours sans examen"
"LIN 4015","Second Language Learning and Bilingualism","Cours sans examen"
"LIN 4120","Teaching English as a Secind Language using Communication Technologies","Cours sans examen"
"LIN 4125","Teaching English as a Secind Language in Schools","Cours sans examen"
"LIN 4128","Teaching English as a Secind Language to Adults","Cours sans examen"
"LIN 4130","Reflexive Second Language Teaching","Cours sans examen"
"ESP 4010","Redacción especializada en español","Cours sans examen"
"TRA 4035","Reducción de textos","Cours sans examen"
"FRA 3006","Rédaction administrative","Cours sans examen"
"FRA 3008","Écriture en communication","Cours sans examen"
"LIN 2003","Nouvelles pratiques du français","Cours sans examen"
"PHI 2015","Pensée critique et argumentation","Cours sans examen"
"PHI 2015","Pensée critique et argumentation","Cours sans examen"
"ADM 1400","Théories de l'organisation","Cours sans examen"
"FRA 3008","Écriture en communication","Cours sans examen"
"PHI 2015","Pensée critique et argumentation","Cours sans examen"
"SOC 1012","Méthodologie de la recherche sociale 1","Cours sans examen"
"ACA 6300","Histoire de vie et construction de sens","Cours sans examen"
"ACA 6620","Sens et projet : définition et anticipation","Cours sans examen"
"ACA 6640","Sens et projet : planification et mise en œuvre","Cours sans examen"
"SCI 1013","Introduction aux méthodes de recherche scientifique","Cours sans examen"
"SCI 1230","Travail scientifique et technologies de l'information","Cours sans examen"
"SCI 1021","Sciences, techniques et civilisations: de l'Antiquité à la Rennaissance","Cours sans examen"
"ENV 3017","Santé et environnement","Cours sans examen"
"ENV 1110","Changements climatiques","Cours sans examen"
"ENV 3026","Économie et gestion du développement durable","Cours sans examen"
"POL 1010","Introductioon aux relations internationales","Cours sans examen"
"ENV 4012","Environnement international","Cours sans examen"
"ANG 4020","Advanced Written and Oral Productions","Cours sans examen"
"ESP 4010","Redacción especializada en español","Cours sans examen"
"ESP 4012","Sociolingüística del mundo hispánico","Cours sans examen"
"PSY 1300","Introduction à la psychologie de la personnalité","Cours sans examen"
"PSY 1323","Motivation et émotions","Cours sans examen"
"PSY 1400","Introductionà la psychologie de la santé","Cours sans examen"
"PSY 1405","Psychologie et promotion de la santé","Cours sans examen"
"PSY 4001","Introductionà la psychologie cognitive","Cours sans examen"
"GEO 2005","Géographie du Québec","Cours sans examen"
"LIN 2001","Langue française: histoire générale et spécifique québécoise","Cours sans examen"
"LIT 4006","Conteurs et nouvelistes québécois :  de Fred Pellerin à Louis Fréchette ","Cours sans examen"
"GEO 2001","Introduction à la géographie humaine","Cours sans examen"
"GEO 2005","Géographie du Québec","Cours sans examen"
"GEO 2002","Introduction à la géographie du tourisme","Cours sans examen"
"GEO 2003","Introduction à la géographie urbaine","Cours sans examen"
"GEO 2004","Espaces francophones minoritaires du Canada","Cours sans examen"
"GEO 2006","Espace social","Cours sans examen"
"GEO 2007","États, territoires et sociétés","Cours sans examen"
"PSY 1220","Psychologie de la vie adulte","Cours sans examen"
"SHS 2502","Récit et projet de formation","Cours sans examen"
"PSY 1323","Motivation et émotions","Cours sans examen"
"PSY 1400","Introductionà la psychologie de la santé","Cours sans examen"
"POL 1010","Introductioon aux relations internationales","Cours sans examen"
"ENV 4012","Environnement international","Cours sans examen"
"ENV 3026","Économie et gestion du développement durable","Cours sans examen"
"GEO 2001","Introduction à la géographie humaine","Cours sans examen"
"GEO 2007","États, territoires et sociétés","Cours sans examen"
"LIT 4007","Roman et mondialisation","Cours sans examen"
"EDU 1010","Organisation de l'éducation au Québec","Cours sans examen"
"GEO 2005","Géographie du Québec","Cours sans examen"
"LIN 2001","Langue française: histoire générale et spécifique québécoise","Cours sans examen"
"LIT 4006","Conteurs et nouvelistes québécois :  de Fred Pellerin à Louis Fréchette ","Cours sans examen"
"PSY 3500","Activité d'intégration","Cours sans examen"
"PSY 1300","Introduction à la psychologie de la personnalité","Cours sans examen"
"PSY 4001","Introductionà la psychologie cognitive","Cours sans examen"
"PSY 1220","Psychologie de la vie adulte","Cours sans examen"
"PSY 1310","Approches de la psychopathologie","Cours sans examen"
"PSY 1320","Les psychothérapies","Cours sans examen"
"PSY 1400","Introductionà la psychologie de la santé","Cours sans examen"
"PSY 1405","Psychologie et promotion de la santé","Cours sans examen"
"PSY 1323","Motivation et émotions","Cours sans examen"
"SCS 2013","Documentation et rédaction en sciences sociales","Cours sans examen"
"SCS 4001","Enjeux sociaux contemporains","Cours sans examen"
"GEO 2001","Introduction à la géographie humaine","Cours sans examen"
"SHS 2502","Récit et projet de formation","Cours sans examen"
"LIN 2001","Langue française: histoire générale et spécifique québécoise","Cours sans examen"
"POL 1010","Introductioon aux relations internationales","Cours sans examen"
"SCI 1021","Sciences, techniques et civilisations: de l'Antiquité à la Rennaissance","Cours sans examen"
"GEO 2002","Introduction à la géographie du tourisme","Cours sans examen"
"GEO 2003","Introduction à la géographie urbaine","Cours sans examen"
"GEO 2004","Espaces francophones minoritaires du Canada","Cours sans examen"
"GEO 2005","Géographie du Québec","Cours sans examen"
"GEO 2006","Espace social","Cours sans examen"
"GEO 2007","États, territoires et sociétés","Cours sans examen"
"LIT 4001","Littérature de masse","Cours sans examen"
"LIT 4004","Littérature pour enfants","Cours sans examen"
"LIT 4006","Conteurs et nouvelistes québécois :  de Fred Pellerin à Louis Fréchette ","Cours sans examen"
"SAM 4040","Travail dirigé","Cours sans examen"
"SAM 4020","Enjeux cliniques et éthiques","Cours sans examen"
"SAM 4050","Histoire de vie, formation et intervention","Cours sans examen"
"SAM 4100","La médication psychriatrique","Cours sans examen"
"SAM 4120","Jeunes et santé mentale","Cours sans examen"
"SAM 4160","Proches aidants et intervention en santé mentale","Cours sans examen"
"SAM 4220","Clinique des cas difficiles","Cours sans examen"
"SAM 4250","Intervention communautaire","Cours sans examen"
"SAM 4320","Histoire de la prise en charge des troubles mentaux au Québec","Cours sans examen"
"SAM 4350",Psychopathologie,"Cours sans examen"
"SAM 4400","Travail et santé mentale","Cours sans examen"
"SAM 4450","Séminaire de cas clinique 1 ","Cours sans examen"
"SAM 4455","Séminaire de cas clinique 2","Cours sans examen"
