c_SigleDuCours,c_TitreDuCours,c_TypeDuCours,c_NombreDeCrédits
"ADM 3011","Éthique et responsabilité sociale des entreprises","Cours avec examen",3
"ECO 2400","Analyse macroéconomique","Cours avec examen",3
"ADM 1420","Gestion des opérations","Cours avec examen",3
"MQT 2001","Statistiques appliquées à la gestion","Cours avec examen",3
"ADM 1402","Entreprise et société","Cours avec examen",3
"ADM 4007","Analyse stratégique de l'entreprise","Cours avec examen",3
"ADM 1400","Théories de l'organisation","Cours sans examen",3
"ADM 3028","Len enjeux éthiques, légaux et sociétaux des TI","Cours avec examen",3
"SCO 2006","Contrôle de gestion","Cours avec examen",3
"ADM 1450","Initiation à la gestion de projets","Cours avec examen",3
"ADM 1012","Le management du changement","Cours avec examen",3
"ADM 3012","Gestion de la diversité culturelle","Cours avec examen",3
"ADM 1400","Théories de l'organisation","Cours sans examen",3
"ADM 1018",Leadership,"Cours avec examen",3
"ADM 3051","Portfolio de formation en management","Cours sans examen",3
"ADM 1404","Travail et société","Cours avec examen",3
"ADM 2014","Devenir entrepreneur","Cours sans examen",3
"ADM 2015","Comportement du consommateur","Cours avec examen",3
"ADM 3013","Gestion de la responsabilité sociale des entreprises","A définir prochainement",3
"ADM 4020","Gestion du rendement","Cours avec examen",3
"COM 1013","Communication et structures organisationnelles","Cours avec examen",3
"COM 5002","Culture organisationnelle","Cours avec examen",3
"COM 5003","Organisation, pouvoir et communication","Cours avec examen",3
"RIN 4120","Innovation, organisation du travail et gestion des ressources humaines","Cours avec examen",3
"ENP 7149","Structuires organisationnelles et processus de travail - ENAP","Information manquante",3
"ENP 7303","Management des organisations publiques - ENAP","Information manquante",3
"ENP 7505","Principes et enjeux de l'administration publique - ENAP","Information manquante",3
"ADM 4010","Stratégie d'entreprise","Cours avec examen",3
"ADM 4051","Intervention en management","Cours sans examen",3
"ADM 4061","Observation en management","Cours sans examen",3
"ADM 1013","Comportement organisationnel","Cours avec examen",3
"ADM 2007","Introduction au marketing","Cours avec examen",3
"SCO 1205","Initiation à la comptabilité financière","Cours avec examen",3
"ADM 1015","Gestion des ressources humaines","Cours avec examen",3
"ADM 2006","Les systèmes d'information de gestion","Cours avec examen",3
"ECO 1300","Analyse microéconomique","Cours avec examen",3
"DRT 1060","Droit des affaires","Cours avec examen",3
"FIN 1020","Administration financière 1","Cours avec examen",3
"ADM 1002","Initiation à la gestion","Cours avec examen",3
"ADM 3011","Éthique et responsabilité sociale des entreprises","Cours avec examen",3
"ECO 2400","Analyse macroéconomique","Cours avec examen",3
"ADM 1420","Gestion des opérations","Cours avec examen",3
"MQT 2001","Statistiques appliquées à la gestion","Cours avec examen",3
"ADM 1402","Entreprise et société","Cours avec examen",3
"ADM 4007","Analyse stratégique de l'entreprise","Cours avec examen",3
"ADM 1400","Théories de l'organisation","Cours sans examen",3
"ADM 3028","Len enjeux éthiques, légaux et sociétaux des TI","Cours avec examen",3
"SCO 2006","Contrôle de gestion","Cours avec examen",3
"ADM 2015","Comportement du consommateur","Cours avec examen",3
"ADM 2009","Marketing responsable","Cours avec examen",3
"ADM 2112","Recherche marketing","Cours avec examen",3
"ADM 2116","Stratégie marketing","Cours avec examen",3
"ADM 2017","Marketing des commerces de détail et expérience client","Cours avec examen",3
"ADM 2013","Publicité et promotion pour les entreprises de services","Cours avec examen",3
"ADM 3052","Portfolio de formation en marketing","Cours sans examen",3
"ADM 1450","Initiation à la gestion de projets","Cours avec examen",3
"ADM 2016","Gestion de la relation de vente","Cours avec examen",3
"ADM 2021","Marketing international","Cours avec examen",3
"ADM 3012","Gestion de la diversité culturelle","Cours avec examen",3
"ADM 9001","Bâtir une entreprise: des connaissances et des méthodes","Cours sans examen",3
"COM 5000","Communication organisationnelle","Cours avec examen",3
"RPL 2003","Introduction aux relations publiques","Cours avec examen",3
"RPL 2004","Le plan de communication","Cours avec examen",3
"ADM 4010","Stratégie d'entreprise","Cours avec examen",3
"ADM 4053","Intervention en marketing","Cours sans examen",3
"ADM 4063","Observation en marketing","Cours sans examen",3
"ADM 6202","Gestion de la créativité","Cours sans examen",3
"ADM 6205","Gestion de projets et créativité","Cours sans examen",3
"ADM 6216","Leadership et travail d'équipe","Cours sans examen",3
"ADM 6218","Gestion des carrières créatives","Cours sans examen",3
"ADM 6220","Gestion, territoire et créativité","Cours sans examen",3
"ADM 6404","Performance et innovation dans les services de santé et services sociaux","Cours sans examen",3
"ADM 6410","Acquisition des habilétés de gestion et interdisciplinarité en santé","Cours sans examen",3
"ADM 6412","Changement dans les organisations de santé et de services sociaux","Cours sans examen",3
"ADM 6415","Activité de synthèse et d'intégration","Cours sans examen",3
"ADM 6216","Leadership et travail d'équipe","Cours sans examen",3
"ADM 6506","Gestion des conflits en contexte de projet","Cours sans examen",3
"ADM 6508","Management et transfert des connaissances","Cours sans examen",3
"SAM 4250","Intervention communautaire","Cours sans examen",3
"SAM 4320","Histoire de la prise en charge des troubles mentaux au Québec","Cours sans examen",3
"RPL 2003","Introduction aux relations publiques","Cours avec examen",3
"RPL 2004","Le plan de communication","Cours avec examen",3
"RPL 2005","Théories et modèles de pratique en relations publiques","Cours avec examen",3
"RPL 2006","Relations publiques et gestion de crise","Cours avec examen",3
"RPL 2008","Pratiques éthiques en relations publiques","Cours avec examen",3
"COM 3000","Droits et enjeux de la communication","Cours avec examen",3
"COM 3023","Déontologie et éthique de la production de l'information","Cours sans examen",3
"COM 3028","Éducation aux médias et littérature médiatique","Cours avec examen",3
"Cours Variés","Des cours dont la sigle de cours sont les suivantes: COM, RPL ou AVM (sous réserve des particularités propres à chaque cours et des règlements pédagogiques particuliers).","Cours avec ou sans examen",3
"COM 3000","Droits et enjeux de la communication","Cours avec examen",3
"SCS 2013","Documentation et rédaction en sciences sociales","Cours sans examen",3
"COM 3020","Médiax, technologies et réseaux","Cours sans examen",3
"COM 3019","Analyse critique des médias socionumériques","Cours sans examen",3
"COM 4020","Activité de synthèse ","Cours sans examen",3
"COM 2005","Cadre politique et institutionnel de la communication","Cours sans examen",3
"COM 3023","Déontologie et éthique de la production de l'information","Cours sans examen",3
"COM 3028","Éducation aux médias et littérature médiatique","Cours avec examen",3
"AVM 1001","Introduction aux arts médiatiques","Cours sans examen",3
"COM 1001","Théories de la communication 1","Cours avec examen",3
"COM 2000","Histoire des communications","Cours avec examen",3
"COM 2007","Télécommunications, déréglementation et nouveaux services","Cours avec examen",3
"COM 5000","Communication organisationnelle","Cours avec examen",3
"PSY 3010","Psychologie du travail et des organisations","Cours avec examen",3
"COM 1013","Communication et structures organisationnelles","Cours avec examen",3
"COM 5002","Culture organisationnelle","Cours avec examen",3
"COM 4011","Projet d'intégration","Cours sans examen",3
"ADM 3011","Éthique et responsabilité sociale des entreprises","Cours avec examen",3
"COM 3000","Droits et enjeux de la communication","Cours avec examen",3
"ADM 1002","Initiation à la gestion","Cours avec examen",3
"ADM 1012","Le management du changement","Cours avec examen",3
"ADM 1400","Théories de l'organisation","Cours sans examen",3
"ADM 1450","Initiation à la gestion de projets","Cours avec examen",3
"ADM 2006","Les systèmes d'information de gestion","Cours avec examen",3
"COM 1021","Techniques d'animation et d'intervention","Cours avec examen",3
"COM 3019","Analyse critique des médias socionumériques","Cours sans examen",3
"COM 5003","Organisation, pouvoir et communication","Cours avec examen",3
"COM 5008","Communication et environnements organisationnels","Cours avec examen",3
"FRA 3008","Écriture en communication","Cours sans examen",3
"RPL 2004","Le plan de communication","Cours avec examen",3
"SOC 1012","Méthodologie de la recherche sociale 1","Cours sans examen",3
"RPL 2003","Introduction aux relations publiques","Cours avec examen",3
"RPL 2004","Le plan de communication","Cours avec examen",3
"RPL 2005","Théories et modèles de pratique en relations publiques","Cours avec examen",3
"RPL 2006","Relations publiques et gestion de crise","Cours avec examen",3
"RPL 2008","Pratiques éthiques en relations publiques","Cours avec examen",3
"ADM 1013","Comportement organisationnel","Cours avec examen",3
"ADM 1450","Initiation à la gestion de projets","Cours avec examen",3
"ADM 2007","Introduction au marketing","Cours avec examen",3
"ADM 2013","Publicité et promotion pour les entreprises de services","Cours avec examen",3
"COM 1021","Techniques d'animation et d'intervention","Cours avec examen",3
"COM 3030","La communication interculturelle: une introduction","Cours avec examen",3
"COM 5000","Communication organisationnelle","Cours avec examen",3
"COM 5003","Organisation, pouvoir et communication","Cours avec examen",3
"COM 5004","Techniques et dynamique de la fonction "conseil"""","Cours sans examen",3
"COM 5020","Communication promotionnelle électronique","Cours sans examen",3
"EUT 4138","Gestion des événements et congrès","Cours avec examen",3
"FRA 3008","Écriture en communication","Cours sans examen",3
"RPL 2010","Stage en relations publiques","Cours sans examen",3
"COM 1000","Introduction à la communication","Cours avec examen",3
"COM 1001","Théories de la communication 1","Cours avec examen",3
"COM 2014","Pratiques de la recherche en communication","Cours sans examen",3
"COM 3000","Droits et enjeux de la communication","Cours avec examen",3
"COM 3028","Éducation aux médias et littérature médiatique","Cours avec examen",3
"COM 4001","Projet d'intégration","Cours sans examen",3
"COM 5000","Communication organisationnelle","Cours avec examen",3
"SOC 1012","Méthodologie de la recherche sociale 1","Cours sans examen",3
"SOC 1014","Méthodologie de la recherche sociale 2","Cours avec examen",3
"COM 2000","Histoire des communications","Cours avec examen",3
"COM 2005","Cadre politique et institutionnel de la communication","Cours sans examen",3
"COM 2007","Télécommunications, déréglementation et nouveaux services","Cours avec examen",3
"COM 3019","Analyse critique des médias socionumériques","Cours sans examen",3
"COM 3020","Médiax, technologies et réseaux","Cours sans examen",3
"COM 3023","Déontologie et éthique de la production de l'information","Cours sans examen",3
"COM 3030","La communication interculturelle: une introduction","Cours avec examen",3
"COM 4025","Lectures dirigées","Cours sans examen",3
"ADM 1002","Initiation à la gestion","Cours avec examen",3
"ADM 1450","Initiation à la gestion de projets","Cours avec examen",3
"AVM 1001","Introduction aux arts médiatiques","Cours sans examen",3
"ECO 2011","Économie du Québec","Cours avec examen",3
"PHI 3009","Introduction à la logique et aux probabilités","Cours avec examen",3
"POL 1010","Introductioon aux relations internationales","Cours sans examen",3
"PSY 3010","Psychologie du travail et des organisations","Cours avec examen",3
"SOC 3003","Soociologie des réseaux sociaux","Cours avec examen",3
"SOC 4002","Sociétés industrielle et postindustrielle","Cours avec examen",3
"ADM 1400","Théories de l'organisation","Cours sans examen",3
"COM 5003","Organisation, pouvoir et communication","Cours avec examen",3
"COM 5004","Techniques et dynamique de la fonction "conseil"""","Cours sans examen",3
"ADM 2006","Les systèmes d'information de gestion","Cours avec examen",3
"COM 1013","Communication et structures organisationnelles","Cours avec examen",3
"COM 1021","Techniques d'animation et d'intervention","Cours avec examen",3
"COM 5002","Culture organisationnelle","Cours avec examen",3
"COM 5005","Méthodes de planification de la communication organisationnelle","Cours avec examen",3
"COM 5008","Communication et environnements organisationnels","Cours avec examen",3
"COM 5022","Communication électronique, et dynamique organisationnelle","Cours avec examen",3
"RPL 2003","Introduction aux relations publiques","Cours avec examen",3
"RPL 2004","Le plan de communication","Cours avec examen",3
"RPL 2006","Relations publiques et gestion de crise","Cours avec examen",3
"ADM 2007","Introduction au marketing","Cours avec examen",3
"COM 2001","La nouvelle communication","Cours sans examen",3
"COM 5020","Communication promotionnelle électronique","Cours sans examen",3
"EUT 4138","Gestion des événements et congrès","Cours avec examen",3
"FRA 3008","Écriture en communication","Cours sans examen",3
"RPL 2005","Théories et modèles de pratique en relations publiques","Cours avec examen",3
"RPL 2008","Pratiques éthiques en relations publiques","Cours avec examen",3
"SCO 1205","Initiation à la comptabilité financière","Cours avec examen",3
"SCO 2001","Initiation à la comptabilité ed management","Cours avec examen",3
"SCO 2205","Présentation et analyse des états financiers","Cours avec examen",3
"SCO 3202","Comptabilité intermédiaire 1","Cours avec examen",3
"SCO 3212","Comptabilité intermédiaire 2","Cours avec examen",3
"FIN 1020","Administration financière 1","Cours avec examen",3
"FIN 2020","Administration financière 2","Cours avec examen",3
"SCO 1205","Initiation à la comptabilité financière","Cours avec examen",3
"SCO 2205","Présentation et analyse des états financiers","Cours avec examen",3
"SCO 6900","Séminaire en information financière","Cours avec examen",3
"SCO 6901","Séminaire en comptabilité de management et gestion de performance","Cours avec examen",3
"SCO 6903","Séminaire en compatbilité et décisions financières","Cours avec examen",3
"SCO 6904","Séminaire en certification","Cours avec examen",3
"SCO 6908","Séminaire en fiscalité","Cours avec examen",3
"SCO 6910","Module 1 en information financière","Cours avec examen",3
"SCO 6911","Module 1 en  comptabilité de management","Cours avec examen",3
"SCO 6913","Module 1 en comptabilité des décisions financières","Cours avec examen",3
"SCO 6914","Module 1 en certification","Cours avec examen",3
"SCO 6918","Module 1 en fiscalité","Cours avec examen",3
"SCO 6920","Module 2 en information financière","Cours avec examen",3
"SCO 6921","Module 2 en  comptabilité de management","Cours avec examen",3
"SCO 6924","Module 2 en certification","Cours avec examen",3
"SCO 6928","Module 2 en fiscalité","Cours avec examen",3
"SCO 6930","Module 3 en information financière","Cours avec examen",3
"ADM 1002","Initiation à la gestion","Cours avec examen",3
"DRT 1060","Droit des affaires","Cours avec examen",3
"FIN 1020","Administration financière 1","Cours avec examen",3
"SCO 1060","Fiscalité 1","Cours avec examen",3
"SCO 1205","Initiation à la comptabilité financière","Cours avec examen",3
"SCO 2001","Initiation à la comptabilité ed management","Cours avec examen",3
"SCO 2205","Présentation et analyse des états financiers","Cours avec examen",3
"ADM 1013","Comportement organisationnel","Cours avec examen",3
"ADM 1015","Gestion des ressources humaines","Cours avec examen",3
"ADM 1400","Théories de l'organisation","Cours sans examen",3
"ADM 2006","Les systèmes d'information de gestion","Cours avec examen",3
"ADM 2007","Introduction au marketing","Cours avec examen",3
"DRT 1062","Gouvernance de l'entreprise et responsabilités juridiques des administrateurs","Cours avec examen",3
"ECO 1300","Analyse microéconomique","Cours avec examen",3
"ECO 2400","Analyse macroéconomique","Cours avec examen",3
"FIN 2020","Administration financière 2","Cours avec examen",3
"MQT 2001","Statistiques appliquées à la gestion","Cours avec examen",3
"SCO 1065","Fiscalité 2","Cours avec examen",3
"SCO 3001","Comptabilité de management et contr[ole ","Cours avec examen",3
"FIN 2022","Analyse financière et gestion du fonds de roulement","Cours avec examen",3
"SCO 1065","Fiscalité 2","Cours avec examen",3
"SCO 3001","Comptabilité de management et contr[ole ","Cours avec examen",3
"SCO 3202","Comptabilité intermédiaire 1","Cours avec examen",3
"SCO 3212","Comptabilité intermédiaire 2","Cours avec examen",3
"SCO 3214","Gouvernance d'entreprise: aspects comptables et financiers","Cours avec examen",3
"SCO 4001","Certification et éthique professionnelle","Cours avec examen",3
"ADM 3028","Len enjeux éthiques, légaux et sociétaux des TI","Cours avec examen",3
"ADM 4007","Analyse stratégique de l'entreprise","Cours avec examen",3
"ECO 1300","Analyse microéconomique","Cours avec examen",3
"ECO 2400","Analyse macroéconomique","Cours avec examen",3
"FIN 1932","Fonds d'inverstissement et produits finenciers","Cours avec examen",3
"FIN 1936","Valeurs mobilières et gestion de portefeuille","Cours avec examen",3
"FIN 2020","Administration financière 2","Cours avec examen",3
"FIN 2024","Évaluation d'entreprise","Cours sans examen",3
"FIN 2301","Paradis fiscaux et finance offshore","Cours sans examen",3
"ADM 1013","Comportement organisationnel","Cours avec examen",3
"ADM 2007","Introduction au marketing","Cours avec examen",3
"SCO 1205","Initiation à la comptabilité financière","Cours avec examen",3
"ADM 1015","Gestion des ressources humaines","Cours avec examen",3
"ADM 2006","Les systèmes d'information de gestion","Cours avec examen",3
"ECO 1300","Analyse microéconomique","Cours avec examen",3
"DRT 1060","Droit des affaires","Cours avec examen",3
"FIN 1020","Administration financière 1","Cours avec examen",3
"ADM 1002","Initiation à la gestion","Cours avec examen",3
"ADM 3011","Éthique et responsabilité sociale des entreprises","Cours avec examen",3
"ECO 2400","Analyse macroéconomique","Cours avec examen",3
"ADM 1420","Gestion des opérations","Cours avec examen",3
"MQT 2001","Statistiques appliquées à la gestion","Cours avec examen",3
"ADM 1402","Entreprise et société","Cours avec examen",3
"ADM 4007","Analyse stratégique de l'entreprise","Cours avec examen",3
"ADM 1400","Théories de l'organisation","Cours sans examen",3
"ADM 3028","Len enjeux éthiques, légaux et sociétaux des TI","Cours avec examen",3
"FIN 1936","Valeurs mobilières et gestion de portefeuille","Cours avec examen",3
"FIN 2020","Administration financière 2","Cours avec examen",3
"FIN 2022","Analyse financière et gestion du fonds de roulement","Cours avec examen",3
"FIN 2024","Évaluation d'entreprise","Cours sans examen",3
"FIN 3120","Éléments d'analyse du crédit productif en microfinance","Cours avec examen",3
"SCO 1060","Fiscalité 1","Cours avec examen",3
"SCO 2001","Initiation à la comptabilité ed management","Cours avec examen",3
"SCO 3001","Comptabilité de management et contr[ole ","Cours avec examen",3
"SCO 3202","Comptabilité intermédiaire 1","Cours avec examen",3
"SCO 3212","Comptabilité intermédiaire 2","Cours avec examen",3
"SCO 3214","Gouvernance d'entreprise: aspects comptables et financiers","Cours avec examen",3
"ADM 1450","Initiation à la gestion de projets","Cours avec examen",3
"ADM 3013","Gestion de la responsabilité sociale des entreprises","A définir prochainement",3
"DRT 1062","Gouvernance de l'entreprise et responsabilités juridiques des administrateurs","Cours avec examen",3
"ECO 2011","Économie du Québec","Cours avec examen",3
"FIN 1932","Fonds d'inverstissement et produits finenciers","Cours avec examen",3
"FIN 2301","Paradis fiscaux et finance offshore","Cours sans examen",3
"SCO 1065","Fiscalité 2","Cours avec examen",3
"SCO 2205","Présentation et analyse des états financiers","Cours avec examen",3
"SCO 4001","Certification et éthique professionnelle","Cours avec examen",3
"DRT 1060","Droit des affaires","Cours avec examen",3
"DRT 1062","Gouvernance de l'entreprise et responsabilités juridiques des administrateurs","Cours avec examen",3
"DRT 1080","Droit du travail au Québec","Cours avec examen",3
"DRT 1910","Aspects juridiques pour planificateurs financiers","Cours avec examen",3
"RIN 1012","Droit et pratique des conventions collectives","Cours sans examen",3
"ECO 1200","Méthodologie économique","Cours sans examen",3
"ECO 1300","Analyse microéconomique","Cours avec examen",3
"ECO 2400","Analyse macroéconomique","Cours avec examen",3
"ECO 2011","Économie du Québec","Cours avec examen",3
"ECO 2015","Économie internationale","Cours avec examen",3
"ECO 2021","Économie responsable","Cours avec examen",3
"ECO 2023","Corruption, blanchiment d'argent et évasion fiscale internationale: comment s'en protéger?","Cours sans examen",3
"FIN 2301","Paradis fiscaux et finance offshore","Cours sans examen",3
"ECO 1200","Méthodologie économique","Cours sans examen",3
"ECO 1300","Analyse microéconomique","Cours avec examen",3
"ECO 2400","Analyse macroéconomique","Cours avec examen",3
"ECO 2011","Économie du Québec","Cours avec examen",3
"ECO 2015","Économie internationale","Cours avec examen",3
"ECO 2021","Économie responsable","Cours avec examen",3
"FIN 2301","Paradis fiscaux et finance offshore","Cours sans examen",3
"FIN 3120","Éléments d'analyse du crédit productif en microfinance","Cours avec examen",3
"INT 1010","Introduction au développement international","Cours avec examen",3
"INT 2020","Théories internationales et mondialisation","Cours avec examen",3
"ADM 3011","Éthique et responsabilité sociale des entreprises","Cours avec examen",3
"DRT 1062","Gouvernance de l'entreprise et responsabilités juridiques des administrateurs","Cours avec examen",3
"FIN 1932","Fonds d'inverstissement et produits finenciers","Cours avec examen",3
"FIN 1934","Introduction aux produits dérivés","Information manquante",3
"ADM 1013","Comportement organisationnel","Cours avec examen",3
"ADM 2007","Introduction au marketing","Cours avec examen",3
"SCO 1205","Initiation à la comptabilité financière","Cours avec examen",3
"ADM 1015","Gestion des ressources humaines","Cours avec examen",3
"ADM 2006","Les systèmes d'information de gestion","Cours avec examen",3
"ECO 1300","Analyse microéconomique","Cours avec examen",3
"DRT 1060","Droit des affaires","Cours avec examen",3
"FIN 1020","Administration financière 1","Cours avec examen",3
"ADM 1002","Initiation à la gestion","Cours avec examen",3
"ADM 3011","Éthique et responsabilité sociale des entreprises","Cours avec examen",3
"ECO 2400","Analyse macroéconomique","Cours avec examen",3
"ADM 1420","Gestion des opérations","Cours avec examen",3
"MQT 2001","Statistiques appliquées à la gestion","Cours avec examen",3
"ADM 1402","Entreprise et société","Cours avec examen",3
"ADM 4007","Analyse stratégique de l'entreprise","Cours avec examen",3
"ADM 1400","Théories de l'organisation","Cours sans examen",3
"ADM 3028","Len enjeux éthiques, légaux et sociétaux des TI","Cours avec examen",3
"ECO 1200","Méthodologie économique","Cours sans examen",3
"ECO 2011","Économie du Québec","Cours avec examen",3
"ECO 2015","Économie internationale","Cours avec examen",3
"ECO 2021","Économie responsable","Cours avec examen",3
"FIN 2301","Paradis fiscaux et finance offshore","Cours sans examen",3
"ECO 2022","Économie des changements climatiques","A définir prochainement",3
"ECO 3003","Économie du travail","Cours avec examen",3
"ECO 2023","Corruption, blanchiment d'argent et évasion fiscale internationale: comment s'en protéger?","Cours sans examen",3
"ENV 3026","Économie et gestion du développement durable","Cours sans examen",3
"SCO 1060","Fiscalité 1","Cours avec examen",3
"ADM 1012","Le management du changement","Cours avec examen",3
"SCO 2205","Présentation et analyse des états financiers","Cours avec examen",3
"ADM 3013","Gestion de la responsabilité sociale des entreprises","A définir prochainement",3
"ADM 3012","Gestion de la diversité culturelle","Cours avec examen",3
"ADM 1450","Initiation à la gestion de projets","Cours avec examen",3
"INT 2020","Théories internationales et mondialisation","Cours avec examen",3
"ADM 2015","Comportement du consommateur","Cours avec examen",3
"SCI 1018","Statistiques avec R","Cours avec examen",3
"FIN 1932","Fonds d'inverstissement et produits finenciers","Cours avec examen",3
"FIN 1936","Valeurs mobilières et gestion de portefeuille","Cours avec examen",3
"ADM 4010","Stratégie d'entreprise","Cours avec examen",3
"ADM 4057","Intervention en management avec une perspective économique","A définir prochainement",3
"ADM 4067","Observation en management avec une perspective économique","A définir prochainement",3
"EDU 1010","Organisation de l'éducation au Québec","Cours sans examen",3
"EDU 1012","Difficultés d'apprentissage, d'adaptation et stratégies d'intervention","Cours sans examen",3
"EDU 1013","Évaluation des apprentissages en milieu scolaire","Cours sans examen",3
"EDU 1022","Français, langue d'enseignement et d'apprentissage","Cours sans examen",3
"EDU 1024","Didactique de l'arithmétique","Cours sans examen",3
"EDU 1020","Stratégies d'intervention éducative auprès des adultes","Cours sans examen",3
"EDU 1030","Design pédagogique en formation d'adultes","Cours sans examen",3
"EDU 1035","Gestion stratégique de la formation d'adultes","Cours sans examen",3
"EDU 1040","Théories de l'apprentissage et éducation des adultes","Cours sans examen",3
"EDU 1071","Formation en milieu de travail: Des dispositifs aux pratiques","Cours sans examen",3
"EDU 1072","Travaux pratiques","Cours sans examen",3
"EDU 1074","Projet personnel","Cours sans examen",3
"EDU 1080","Évaluation de l'apprentissage et de la formation","Cours sans examen",3
"PSY 1220","Psychologie de la vie adulte","Cours sans examen",3
"TED 1272","Les TIC et l'apprentissage en milieu de travail","Cours sans examen",3
"COM 3028","Éducation aux médias et littérature médiatique","Cours avec examen",3
"EDU 1030","Design pédagogique en formation d'adultes","Cours sans examen",3
"EDU 1074","Projet personnel","Cours sans examen",3
"TED 1272","Les TIC et l'apprentissage en milieu de travail","Cours sans examen",3
"TED 1280","Jeux, simulations et jeux de rôle: exploration et analyse pédagogique","Cours sans examen",3
"TED 3001","Enseigner avec les technologies de l'information","Cours sans examen",3
"EDU 1020","Stratégies d'intervention éducative auprès des adultes","Cours sans examen",3
"EDU 1030","Design pédagogique en formation d'adultes","Cours sans examen",3
"EDU 1040","Théories de l'apprentissage et éducation des adultes","Cours sans examen",3
"EDU 1050","Analyse sociale de l'éducation","Cours sans examen",3
"EDU 1080","Évaluation de l'apprentissage et de la formation","Cours sans examen",3
"PSY 1220","Psychologie de la vie adulte","Cours sans examen",3
"ECO 3004","Formation et compétitivité économique","Cours avec examen",3
"EDU 1035","Gestion stratégique de la formation d'adultes","Cours sans examen",3
"EDU 1071","Formation en milieu de travail: Des dispositifs aux pratiques","Cours sans examen",3
"INF 6400","Gestion de connaissances et informatique","Cours avec examen",3
"LIN 4128","Teaching English as a Second Language to Adults  ","Cours sans examen",3
"TED 1272","Les TIC et l'apprentissage en milieu de travail","Cours sans examen",3
"TED 1280","Jeux, simulations et jeux de rôle: exploration et analyse pédagogique","Cours sans examen",3
"COM 1021","Techniques d'animation et d'intervention","Cours avec examen",3
"COM 3030","La communication interculturelle: une introduction","Cours avec examen",3
"COM 5003","Organisation, pouvoir et communication","Cours avec examen",3
"EDU 1070","Clarification des valeurs","Cours sans examen",3
"PSY 3010","Psychologie du travail et des organisations","Cours avec examen",3
"PSY 1300","Introduction à la psychologie de la personnalité","Cours sans examen",3
"PSY 1323","Motivation et émotions","Cours sans examen",3
"PSY 1400","Introductionà la psychologie de la santé","Cours sans examen",3
"PSY 3005","Psychologie sociale","Cours avec examen",3
"PSY 4001","Introductionà la psychologie cognitive","Cours sans examen",3
"RIN 2013","Conciliation emploi-famille et temps de travail","Cours avec examen",3
"ADM 1450","Initiation à la gestion de projets","Cours avec examen",3
"EDU 1033","Gestion de projets et compétence numérique en milieu de travail","Cours sans examen",3
"EDU 1072","Travaux pratiques","Cours sans examen",3
"EDU 1074","Projet personnel","Cours sans examen",3
"TED 6312","Ingénierie pédagogique et technologies éducatives","Cours sans examen",3
"TED 6313","Projet d'ingénierie technopédagogique","Cours sans examen",3
"TED 6210","Stratégies pédagogiques: une approche cognitive","Cours sans examen",3
"TED 6350","Technologie de diffusion de la formation","Cours sans examen",3
"EDU 6011A","Gestion efficace des comportements - volet enseignement","Cours sans examen",3
"EDU 6510A","L'enseignement efficace: fondements et pratiques - volet enseignement","Cours sans examen",3
"EDU 6511A","L'enseignement explicite: fondements et pratiques - volet enseignement","Cours sans examen",3
"EDU 6009B","Gestion efficace des comportements - volet accompagnement 1: école","Cours sans examen",3
"EDU 6010B","Gestion efficace des comportements - volet accompagnement 2: classe","Cours sans examen",3
"EDU 6510B","L'enseignement efficace: fondements et pratiques - volet accompagnement","Cours sans examen",3
"EDU 6511B","L'enseignement explicite: fondements et pratiques - volet accompagnement","Cours sans examen",3
"EDU 6510C","L'enseignement efficace: fondements et pratiques - volet intervention","Cours sans examen",3
"EDU 6001","Administration de systèmes de formation à distance","Cours sans examen",3
"EDU 6002","Communication pédagogique à distance","Cours sans examen",3
"EDU 6003","Visions pédagogiques de l'éducation","Cours sans examen",3
"EDU 6013","Soutien à l'apprentissage à distance","Cours sans examen",3
"EDU 6014","Formation à distance et développement","Cours sans examen",3
"EDU 6022","Technologies et apprentissage à distance","Cours sans examen",3
"EDU 6101","La formation à distance maintenant 1","Cours sans examen",3
"EDU 6102","La formation à distance maintenant 2","Cours sans examen",3
"TED 6512","Apprentissage collaboratif en mode virtuel","Cours sans examen",3
"TED 6312","Ingénierie pédagogique et technologies éducatives","Cours sans examen",3
"EDU 6013","Soutien à l'apprentissage à distance","Cours sans examen",3
"EDU 6015","Travail pratique","Cours sans examen",3
"EDU 6022","Technologies et apprentissage à distance","Cours sans examen",3
"TED 6200","Technologies de l'information et développement cognitif","Cours sans examen",3
"TED 6210","Stratégies pédagogiques: une approche cognitive","Cours sans examen",3
"TED 6313","Projet d'ingénierie technopédagogique","Cours sans examen",3
"TED 6350","Technologie de diffusion de la formation","Cours sans examen",3
"TED 6375","Gestion de projets en technologie éducative","Cours sans examen",3
"TED 6501","Intégration des TIC en situation éducative","Cours sans examen",3
"TED 6502","Jeux virtuels et apprentissage","Cours sans examen",3
"TED 6503","Intégration du numérique en éducation et en formation des adultes","Cours sans examen",3
"TED 6504","Apprentissage en ligne: concepts, putils et pratiques","Cours sans examen",3
"TED 6512","Apprentissage colalboratif en mode virtuel","Cours sans examen",3
"TED 6520","Environnements d'apprentissage intelligents","Cours sans examen",3
"ADM 2011","Administration marketing","Cours avec examen",3
"ADM 2014","Devenir entrepreneur","Cours sans examen",3
"ADM 2115","Réaliser un projet d'affaires","Cours avec examen",3
"ADM 9003","Gestion de la TPE/PME","Cours sans examen",3
