c_SigleDuCours,c_TitreDuCours,c_TypeDuCours,c_NuméroDuProgramme,c_ProfilDeFormationDuprogramme,c_DépartementResponsable
"MQT 2420","Récherche opérationnelle","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"ADM 3007","Initiatives de développement local et d'économie sociale","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"ECO 2011","Économie du Québec","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"ECO 2015","Économie internationale","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"ECO 2021","Économie responsable","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"ECO 3003","Économie du travail","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"ECO 3004","Formation et compétitivité économique","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"ECO 3005","Développement économique et emploi","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"ADM 2115","Réaliser un projet d'affaires","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"ADM 2021","Marketing international","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"INT 1010","Introduction au développement international","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"INT 2010","Migrations internationales","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"INT 2020","Théories internationales et mondialisation","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"INT 2030","Coopération internationale, gouvernance et développement démocratique","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"COM 1013","Communication et structures organisationnelles","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"COM 3030","La communication interculturelle: une introduction","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"COM 5000","Communication organisationnelle","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"COM 5002","Culture organisationnelle","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"COM 5003","Organisation, pouvoir et communication","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"COM 5022","Communication électronique, et dynamique organisationnelle","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"RPL 2003","Introduction aux relations publiques","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"RPL 2004","Le plan de communication","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"DRT 1062","Gouvernance de l'entreprise et responsabilités juridiques des administrateurs","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"DRT 1080","Droit du travail au Québec","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"EUT 4138","Gestion des événements et congrès","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"EUT 5109","Tourisme urbain","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"ADM 4010","Stratégie d'entreprise","Cours avec examen",7364,"Administration (cheminement général bilingue - français/anglais)",Administration
"ADM 1013","Comportement organisationnel","Cours avec examen",6771,"Administration (développement local et économie sociale)",Administration
"ADM 2007","Introduction au marketing","Cours avec examen",6771,"Administration (développement local et économie sociale)",Administration
"SCO 1205","Initiation à la comptabilité financière","Cours avec examen",6771,"Administration (développement local et économie sociale)",Administration
"ADM 1015","Gestion des ressources humaines","Cours avec examen",6771,"Administration (développement local et économie sociale)",Administration
"ADM 2006","Les systèmes d'information de gestion","Cours avec examen",6771,"Administration (développement local et économie sociale)",Administration
"ECO 1300","Analyse microéconomique","Cours avec examen",6771,"Administration (développement local et économie sociale)",Administration
"DRT 1060","Droit des affaires","Cours avec examen",6771,"Administration (développement local et économie sociale)",Administration
"FIN 1020","Administration financière 1","Cours avec examen",6771,"Administration (développement local et économie sociale)",Administration
"ADM 1002","Initiation à la gestion","Cours avec examen",6771,"Administration (développement local et économie sociale)",Administration
"ADM 3011","Éthique et responsabilité sociale des entreprises","Cours avec examen",6771,"Administration (développement local et économie sociale)",Administration
"ECO 2400","Analyse macroéconomique","Cours avec examen",6771,"Administration (développement local et économie sociale)",Administration
"ADM 1420","Gestion des opérations","Cours avec examen",6771,"Administration (développement local et économie sociale)",Administration
"MQT 2001","Statistiques appliquées à la gestion","Cours avec examen",6771,"Administration (développement local et économie sociale)",Administration
"ADM 1402","Entreprise et société","Cours avec examen",6771,"Administration (développement local et économie sociale)",Administration
"ADM 4007","Analyse stratégique de l'entreprise","Cours avec examen",6771,"Administration (développement local et économie sociale)",Administration
"ADM 3028","Len enjeux éthiques, légaux et sociétaux des TI","Cours avec examen",6771,"Administration (développement local et économie sociale)",Administration
"SCO 2006","Contrôle de gestion","Cours avec examen",6771,"Administration (développement local et économie sociale)",Administration
"ADM 3007","Initiatives de développement local et d'économie sociale","Cours avec examen",6771,"Administration (développement local et économie sociale)",Administration
"ECO 2011","Économie du Québec","Cours avec examen",6771,"Administration (développement local et économie sociale)",Administration
"ECO 3005","Développement économique et emploi","Cours avec examen",6771,"Administration (développement local et économie sociale)",Administration
"ECO 3003","Économie du travail","Cours avec examen",6771,"Administration (développement local et économie sociale)",Administration
"RIN 4120","Innovation, organisation du travail et gestion des ressources humaines","Cours avec examen",6771,"Administration (développement local et économie sociale)",Administration
"ADM 1012","Le management du changement","Cours avec examen",6771,"Administration (développement local et économie sociale)",Administration
"ADM 1404","Travail et société","Cours avec examen",6771,"Administration (développement local et économie sociale)",Administration
"ADM 1450","Initiation à la gestion de projets","Cours avec examen",6771,"Administration (développement local et économie sociale)",Administration
"ADM 3012","Gestion de la diversité culturelle","Cours avec examen",6771,"Administration (développement local et économie sociale)",Administration
"ADM 4015","Modèles internationaux de gestion des ressources humaines","Cours avec examen",6771,"Administration (développement local et économie sociale)",Administration
"ADM 4025","Séminaire thématique en gestion de ressources humaines","Cours avec examen",6771,"Administration (développement local et économie sociale)",Administration
"FIN 3120","Éléments d'analyse du crédit productif en microfinance","Cours avec examen",6771,"Administration (développement local et économie sociale)",Administration
"RIN 2013","Conciliation emploi-famille et temps de travail","Cours avec examen",6771,"Administration (développement local et économie sociale)",Administration
"ADM 4010","Stratégie d'entreprise","Cours avec examen",6771,"Administration (développement local et économie sociale)",Administration
"ADM 1013","Comportement organisationnel","Cours avec examen",6773,"Administration ( gestion des services de santé et des services sociaux)",Administration
"ADM 2007","Introduction au marketing","Cours avec examen",6773,"Administration ( gestion des services de santé et des services sociaux)",Administration
"SCO 1205","Initiation à la comptabilité financière","Cours avec examen",6773,"Administration ( gestion des services de santé et des services sociaux)",Administration
"ADM 1015","Gestion des ressources humaines","Cours avec examen",6773,"Administration ( gestion des services de santé et des services sociaux)",Administration
"ADM 2006","Les systèmes d'information de gestion","Cours avec examen",6773,"Administration ( gestion des services de santé et des services sociaux)",Administration
"ECO 1300","Analyse microéconomique","Cours avec examen",6773,"Administration ( gestion des services de santé et des services sociaux)",Administration
"DRT 1060","Droit des affaires","Cours avec examen",6773,"Administration ( gestion des services de santé et des services sociaux)",Administration
"FIN 1020","Administration financière 1","Cours avec examen",6773,"Administration ( gestion des services de santé et des services sociaux)",Administration
"ADM 1002","Initiation à la gestion","Cours avec examen",6773,"Administration ( gestion des services de santé et des services sociaux)",Administration
"ADM 3011","Éthique et responsabilité sociale des entreprises","Cours avec examen",6773,"Administration ( gestion des services de santé et des services sociaux)",Administration
"ECO 2400","Analyse macroéconomique","Cours avec examen",6773,"Administration ( gestion des services de santé et des services sociaux)",Administration
"ADM 1420","Gestion des opérations","Cours avec examen",6773,"Administration ( gestion des services de santé et des services sociaux)",Administration
"MQT 2001","Statistiques appliquées à la gestion","Cours avec examen",6773,"Administration ( gestion des services de santé et des services sociaux)",Administration
"ADM 1402","Entreprise et société","Cours avec examen",6773,"Administration ( gestion des services de santé et des services sociaux)",Administration
"ADM 4007","Analyse stratégique de l'entreprise","Cours avec examen",6773,"Administration ( gestion des services de santé et des services sociaux)",Administration
"ADM 3028","Len enjeux éthiques, légaux et sociétaux des TI","Cours avec examen",6773,"Administration ( gestion des services de santé et des services sociaux)",Administration
"SCO 2006","Contrôle de gestion","Cours avec examen",6773,"Administration ( gestion des services de santé et des services sociaux)",Administration
"ADM 2205","Le système de santé et des services sociaux du Québec","Cours avec examen",6773,"Administration ( gestion des services de santé et des services sociaux)",Administration
"ADM 2210","Droit et éthique de la santé et des services sociaux","Cours avec examen",6773,"Administration ( gestion des services de santé et des services sociaux)",Administration
"ADM 2215","La qualité et sa gestion dans les services de santé et services sociaux","Cours avec examen",6773,"Administration ( gestion des services de santé et des services sociaux)",Administration
"ADM 1012","Le management du changement","Cours avec examen",6773,"Administration ( gestion des services de santé et des services sociaux)",Administration
"ADM 4020","Gestion du rendement","Cours avec examen",6773,"Administration ( gestion des services de santé et des services sociaux)",Administration
"COM 3030","La communication interculturelle: une introduction","Cours avec examen",6773,"Administration ( gestion des services de santé et des services sociaux)",Administration
"ADM 1013","Comportement organisationnel","Cours avec examen",6768,"Administration (management)",Administration
"ADM 2007","Introduction au marketing","Cours avec examen",6768,"Administration (management)",Administration
"SCO 1205","Initiation à la comptabilité financière","Cours avec examen",6768,"Administration (management)",Administration
"ADM 1015","Gestion des ressources humaines","Cours avec examen",6768,"Administration (management)",Administration
"ADM 2006","Les systèmes d'information de gestion","Cours avec examen",6768,"Administration (management)",Administration
"ECO 1300","Analyse microéconomique","Cours avec examen",6768,"Administration (management)",Administration
"DRT 1060","Droit des affaires","Cours avec examen",6768,"Administration (management)",Administration
"FIN 1020","Administration financière 1","Cours avec examen",6768,"Administration (management)",Administration
"ADM 1002","Initiation à la gestion","Cours avec examen",6768,"Administration (management)",Administration
"ADM 3011","Éthique et responsabilité sociale des entreprises","Cours avec examen",6768,"Administration (management)",Administration
"ECO 2400","Analyse macroéconomique","Cours avec examen",6768,"Administration (management)",Administration
"ADM 1420","Gestion des opérations","Cours avec examen",6768,"Administration (management)",Administration
"MQT 2001","Statistiques appliquées à la gestion","Cours avec examen",6768,"Administration (management)",Administration
"ADM 1402","Entreprise et société","Cours avec examen",6768,"Administration (management)",Administration
"ADM 4007","Analyse stratégique de l'entreprise","Cours avec examen",6768,"Administration (management)",Administration
"ADM 3028","Len enjeux éthiques, légaux et sociétaux des TI","Cours avec examen",6768,"Administration (management)",Administration
"SCO 2006","Contrôle de gestion","Cours avec examen",6768,"Administration (management)",Administration
"ADM 1450","Initiation à la gestion de projets","Cours avec examen",6768,"Administration (management)",Administration
"ADM 1012","Le management du changement","Cours avec examen",6768,"Administration (management)",Administration
"ADM 3012","Gestion de la diversité culturelle","Cours avec examen",6768,"Administration (management)",Administration
"ADM 1018",Leadership,"Cours avec examen",6768,"Administration (management)",Administration
"ADM 1404","Travail et société","Cours avec examen",6768,"Administration (management)",Administration
"ADM 2015","Comportement du consommateur","Cours avec examen",6768,"Administration (management)",Administration
"ADM 4020","Gestion du rendement","Cours avec examen",6768,"Administration (management)",Administration
"COM 1013","Communication et structures organisationnelles","Cours avec examen",6768,"Administration (management)",Administration
"COM 5002","Culture organisationnelle","Cours avec examen",6768,"Administration (management)",Administration
"COM 5003","Organisation, pouvoir et communication","Cours avec examen",6768,"Administration (management)",Administration
"RIN 4120","Innovation, organisation du travail et gestion des ressources humaines","Cours avec examen",6768,"Administration (management)",Administration
"ADM 4010","Stratégie d'entreprise","Cours avec examen",6768,"Administration (management)",Administration
"ADM 1013","Comportement organisationnel","Cours avec examen",6769,"Administration (marketing)",Administration
"ADM 2007","Introduction au marketing","Cours avec examen",6769,"Administration (marketing)",Administration
"SCO 1205","Initiation à la comptabilité financière","Cours avec examen",6769,"Administration (marketing)",Administration
"ADM 1015","Gestion des ressources humaines","Cours avec examen",6769,"Administration (marketing)",Administration
"ADM 2006","Les systèmes d'information de gestion","Cours avec examen",6769,"Administration (marketing)",Administration
"ECO 1300","Analyse microéconomique","Cours avec examen",6769,"Administration (marketing)",Administration
"DRT 1060","Droit des affaires","Cours avec examen",6769,"Administration (marketing)",Administration
"FIN 1020","Administration financière 1","Cours avec examen",6769,"Administration (marketing)",Administration
"ADM 1002","Initiation à la gestion","Cours avec examen",6769,"Administration (marketing)",Administration
"ADM 3011","Éthique et responsabilité sociale des entreprises","Cours avec examen",6769,"Administration (marketing)",Administration
"ECO 2400","Analyse macroéconomique","Cours avec examen",6769,"Administration (marketing)",Administration
"ADM 1420","Gestion des opérations","Cours avec examen",6769,"Administration (marketing)",Administration
"MQT 2001","Statistiques appliquées à la gestion","Cours avec examen",6769,"Administration (marketing)",Administration
"ADM 1402","Entreprise et société","Cours avec examen",6769,"Administration (marketing)",Administration
"ADM 4007","Analyse stratégique de l'entreprise","Cours avec examen",6769,"Administration (marketing)",Administration
"ADM 3028","Len enjeux éthiques, légaux et sociétaux des TI","Cours avec examen",6769,"Administration (marketing)",Administration
"SCO 2006","Contrôle de gestion","Cours avec examen",6769,"Administration (marketing)",Administration
"ADM 2015","Comportement du consommateur","Cours avec examen",6769,"Administration (marketing)",Administration
"ADM 2009","Marketing responsable","Cours avec examen",6769,"Administration (marketing)",Administration
"ADM 2112","Recherche marketing","Cours avec examen",6769,"Administration (marketing)",Administration
"ADM 2116","Stratégie marketing","Cours avec examen",6769,"Administration (marketing)",Administration
"ADM 2017","Marketing des commerces de détail et expérience client","Cours avec examen",6769,"Administration (marketing)",Administration
"ADM 2013","Publicité et promotion pour les entreprises de services","Cours avec examen",6769,"Administration (marketing)",Administration
"ADM 1450","Initiation à la gestion de projets","Cours avec examen",6769,"Administration (marketing)",Administration
"ADM 2016","Gestion de la relation de vente","Cours avec examen",6769,"Administration (marketing)",Administration
"ADM 2021","Marketing international","Cours avec examen",6769,"Administration (marketing)",Administration
"ADM 3012","Gestion de la diversité culturelle","Cours avec examen",6769,"Administration (marketing)",Administration
"COM 5000","Communication organisationnelle","Cours avec examen",6769,"Administration (marketing)",Administration
"RPL 2003","Introduction aux relations publiques","Cours avec examen",6769,"Administration (marketing)",Administration
"RPL 2004","Le plan de communication","Cours avec examen",6769,"Administration (marketing)",Administration
"ADM 4010","Stratégie d'entreprise","Cours avec examen",6769,"Administration (marketing)",Administration
"RPL 2003","Introduction aux relations publiques","Cours avec examen",225,"Communication appliquée aux relations publiques",Communication
"RPL 2004","Le plan de communication","Cours avec examen",225,"Communication appliquée aux relations publiques",Communication
"RPL 2005","Théories et modèles de pratique en relations publiques","Cours avec examen",225,"Communication appliquée aux relations publiques",Communication
"RPL 2006","Relations publiques et gestion de crise","Cours avec examen",225,"Communication appliquée aux relations publiques",Communication
"RPL 2008","Pratiques éthiques en relations publiques","Cours avec examen",225,"Communication appliquée aux relations publiques",Communication
"COM 3000","Droits et enjeux de la communication","Cours avec examen",768,"Médias, information et rapports sociaux",Communication
"COM 3028","Éducation aux médias et littérature médiatique","Cours avec examen",768,"Médias, information et rapports sociaux",Communication
"COM 3000","Droits et enjeux de la communication","Cours avec examen",4381,"Analyse des médias",Communication
"COM 3028","Éducation aux médias et littérature médiatique","Cours avec examen",4381,"Analyse des médias",Communication
"COM 1001","Théories de la communication 1","Cours avec examen",4381,"Analyse des médias",Communication
"COM 2000","Histoire des communications","Cours avec examen",4381,"Analyse des médias",Communication
"COM 2007","Télécommunications, déréglementation et nouveaux services","Cours avec examen",4381,"Analyse des médias",Communication
"COM 5000","Communication organisationnelle","Cours avec examen",4379,"Communication organisationnelle",Communication
"PSY 3010","Psychologie du travail et des organisations","Cours avec examen",4379,"Communication organisationnelle",Communication
"COM 1013","Communication et structures organisationnelles","Cours avec examen",4379,"Communication organisationnelle",Communication
"COM 5002","Culture organisationnelle","Cours avec examen",4379,"Communication organisationnelle",Communication
"ADM 3011","Éthique et responsabilité sociale des entreprises","Cours avec examen",4379,"Communication organisationnelle",Communication
"COM 3000","Droits et enjeux de la communication","Cours avec examen",4379,"Communication organisationnelle",Communication
"ADM 1002","Initiation à la gestion","Cours avec examen",4379,"Communication organisationnelle",Communication
"ADM 1012","Le management du changement","Cours avec examen",4379,"Communication organisationnelle",Communication
"ADM 1450","Initiation à la gestion de projets","Cours avec examen",4379,"Communication organisationnelle",Communication
"ADM 2006","Les systèmes d'information de gestion","Cours avec examen",4379,"Communication organisationnelle",Communication
"COM 1021","Techniques d'animation et d'intervention","Cours avec examen",4379,"Communication organisationnelle",Communication
"COM 5003","Organisation, pouvoir et communication","Cours avec examen",4379,"Communication organisationnelle",Communication
"COM 5008","Communication et environnements organisationnels","Cours avec examen",4379,"Communication organisationnelle",Communication
"RPL 2004","Le plan de communication","Cours avec examen",4379,"Communication organisationnelle",Communication
"RPL 2003","Introduction aux relations publiques","Cours avec examen",4039,"Relations publiques",Communication
"RPL 2004","Le plan de communication","Cours avec examen",4039,"Relations publiques",Communication
"RPL 2005","Théories et modèles de pratique en relations publiques","Cours avec examen",4039,"Relations publiques",Communication
"RPL 2006","Relations publiques et gestion de crise","Cours avec examen",4039,"Relations publiques",Communication
"RPL 2008","Pratiques éthiques en relations publiques","Cours avec examen",4039,"Relations publiques",Communication
"ADM 1013","Comportement organisationnel","Cours avec examen",4039,"Relations publiques",Communication
"ADM 1450","Initiation à la gestion de projets","Cours avec examen",4039,"Relations publiques",Communication
"ADM 2007","Introduction au marketing","Cours avec examen",4039,"Relations publiques",Communication
"ADM 2013","Publicité et promotion pour les entreprises de services","Cours avec examen",4039,"Relations publiques",Communication
"COM 1021","Techniques d'animation et d'intervention","Cours avec examen",4039,"Relations publiques",Communication
"COM 3030","La communication interculturelle: une introduction","Cours avec examen",4039,"Relations publiques",Communication
"COM 5000","Communication organisationnelle","Cours avec examen",4039,"Relations publiques",Communication
"COM 5003","Organisation, pouvoir et communication","Cours avec examen",4039,"Relations publiques",Communication
"EUT 4138","Gestion des événements et congrès","Cours avec examen",4039,"Relations publiques",Communication
"COM 1000","Introduction à la communication","Cours avec examen",7887,Communication,Communication
"COM 1001","Théories de la communication 1","Cours avec examen",7887,Communication,Communication
"COM 3000","Droits et enjeux de la communication","Cours avec examen",7887,Communication,Communication
"COM 3028","Éducation aux médias et littérature médiatique","Cours avec examen",7887,Communication,Communication
"COM 5000","Communication organisationnelle","Cours avec examen",7887,Communication,Communication
"SOC 1014","Méthodologie de la recherche sociale 2","Cours avec examen",7887,Communication,Communication
"COM 2000","Histoire des communications","Cours avec examen",7887,Communication,Communication
"COM 2007","Télécommunications, déréglementation et nouveaux services","Cours avec examen",7887,Communication,Communication
"COM 3030","La communication interculturelle: une introduction","Cours avec examen",7887,Communication,Communication
"ADM 1002","Initiation à la gestion","Cours avec examen",7887,Communication,Communication
"ADM 1450","Initiation à la gestion de projets","Cours avec examen",7887,Communication,Communication
"ECO 2011","Économie du Québec","Cours avec examen",7887,Communication,Communication
"PHI 3009","Introduction à la logique et aux probabilités","Cours avec examen",7887,Communication,Communication
"PSY 3010","Psychologie du travail et des organisations","Cours avec examen",7887,Communication,Communication
"SOC 3003","Soociologie des réseaux sociaux","Cours avec examen",7887,Communication,Communication
"SOC 4002","Sociétés industrielle et postindustrielle","Cours avec examen",7887,Communication,Communication
"COM 5003","Organisation, pouvoir et communication","Cours avec examen",7887,Communication,Communication
"ADM 2006","Les systèmes d'information de gestion","Cours avec examen",7887,Communication,Communication
"COM 1013","Communication et structures organisationnelles","Cours avec examen",7887,Communication,Communication
"COM 1021","Techniques d'animation et d'intervention","Cours avec examen",7887,Communication,Communication
"COM 5002","Culture organisationnelle","Cours avec examen",7887,Communication,Communication
"COM 5005","Méthodes de planification de la communication organisationnelle","Cours avec examen",7887,Communication,Communication
"COM 5008","Communication et environnements organisationnels","Cours avec examen",7887,Communication,Communication
"COM 5022","Communication électronique, et dynamique organisationnelle","Cours avec examen",7887,Communication,Communication
"RPL 2003","Introduction aux relations publiques","Cours avec examen",7887,Communication,Communication
"RPL 2004","Le plan de communication","Cours avec examen",7887,Communication,Communication
"RPL 2006","Relations publiques et gestion de crise","Cours avec examen",7887,Communication,Communication
"ADM 2007","Introduction au marketing","Cours avec examen",7887,Communication,Communication
"EUT 4138","Gestion des événements et congrès","Cours avec examen",7887,Communication,Communication
"RPL 2005","Théories et modèles de pratique en relations publiques","Cours avec examen",7887,Communication,Communication
"RPL 2008","Pratiques éthiques en relations publiques","Cours avec examen",7887,Communication,Communication
"SCO 1205","Initiation à la comptabilité financière","Cours avec examen",374,Comptabilité,Comptabilité
"SCO 2001","Initiation à la comptabilité ed management","Cours avec examen",374,Comptabilité,Comptabilité
"SCO 2205","Présentation et analyse des états financiers","Cours avec examen",374,Comptabilité,Comptabilité
"SCO 3202","Comptabilité intermédiaire 1","Cours avec examen",374,Comptabilité,Comptabilité
"SCO 3212","Comptabilité intermédiaire 2","Cours avec examen",374,Comptabilité,Comptabilité
"FIN 1020","Administration financière 1","Cours avec examen",6,"Comptabilité et finance",Comptabilité
"FIN 2020","Administration financière 2","Cours avec examen",6,"Comptabilité et finance",Comptabilité
"SCO 1205","Initiation à la comptabilité financière","Cours avec examen",6,"Comptabilité et finance",Comptabilité
"SCO 2205","Présentation et analyse des états financiers","Cours avec examen",6,"Comptabilité et finance",Comptabilité
"SCO 6900","Séminaire en information financière","Cours avec examen",674,"Sciences comptables",Comptabilité
"SCO 6901","Séminaire en comptabilité de management et gestion de performance","Cours avec examen",674,"Sciences comptables",Comptabilité
"SCO 6903","Séminaire en compatbilité et décisions financières","Cours avec examen",674,"Sciences comptables",Comptabilité
"SCO 6904","Séminaire en certification","Cours avec examen",674,"Sciences comptables",Comptabilité
"SCO 6908","Séminaire en fiscalité","Cours avec examen",674,"Sciences comptables",Comptabilité
"SCO 6910","Module 1 en information financière","Cours avec examen",4445," Préparation CPA",Comptabilité
"SCO 6911","Module 1 en  comptabilité de management","Cours avec examen",4445,"Préparation CPA",Comptabilité
"SCO 6913","Module 1 en comptabilité des décisions financières","Cours avec examen",4445,"Préparation CPA",Comptabilité
"SCO 6914","Module 1 en certification","Cours avec examen",4445,"Préparation CPA",Comptabilité
"SCO 6918","Module 1 en fiscalité","Cours avec examen",4445,"Préparation CPA",Comptabilité
"SCO 6920","Module 2 en information financière","Cours avec examen",4445,"Préparation CPA",Comptabilité
"SCO 6921","Module 2 en  comptabilité de management","Cours avec examen",4445,"Préparation CPA",Comptabilité
"SCO 6924","Module 2 en certification","Cours avec examen",4445,"Préparation CPA",Comptabilité
"SCO 6928","Module 2 en fiscalité","Cours avec examen",4445,"Préparation CPA",Comptabilité
"SCO 6930","Module 3 en information financière","Cours avec examen",4445,"Préparation CPA",Comptabilité
"ADM 1002","Initiation à la gestion","Cours avec examen",4227,"Comptabilité générale","Comptabilité "
"DRT 1060","Droit des affaires","Cours avec examen",4227,"Comptabilité générale","Comptabilité "
"FIN 1020","Administration financière 1","Cours avec examen",4227,"Comptabilité générale","Comptabilité "
"SCO 1060","Fiscalité 1","Cours avec examen",4227,"Comptabilité générale","Comptabilité "
"SCO 1205","Initiation à la comptabilité financière","Cours avec examen",4227,"Comptabilité générale","Comptabilité "
"SCO 2001","Initiation à la comptabilité ed management","Cours avec examen",4227,"Comptabilité générale","Comptabilité "
"SCO 2205","Présentation et analyse des états financiers","Cours avec examen",4227,"Comptabilité générale","Comptabilité "
"ADM 1013","Comportement organisationnel","Cours avec examen",4227,"Comptabilité générale","Comptabilité "
"ADM 1015","Gestion des ressources humaines","Cours avec examen",4227,"Comptabilité générale","Comptabilité "
"ADM 2006","Les systèmes d'information de gestion","Cours avec examen",4227,"Comptabilité générale","Comptabilité "
"ADM 2007","Introduction au marketing","Cours avec examen",4227,"Comptabilité générale","Comptabilité "
"DRT 1062","Gouvernance de l'entreprise et responsabilités juridiques des administrateurs","Cours avec examen",4227,"Comptabilité générale","Comptabilité "
"ECO 1300","Analyse microéconomique","Cours avec examen",4227,"Comptabilité générale","Comptabilité "
"ECO 2400","Analyse macroéconomique","Cours avec examen",4227,"Comptabilité générale","Comptabilité "
"FIN 2020","Administration financière 2","Cours avec examen",4227,"Comptabilité générale","Comptabilité "
"MQT 2001","Statistiques appliquées à la gestion","Cours avec examen",4227,"Comptabilité générale","Comptabilité "
"SCO 1065","Fiscalité 2","Cours avec examen",4227,"Comptabilité générale","Comptabilité "
"SCO 3001","Comptabilité de management et contr[ole ","Cours avec examen",4227,"Comptabilité générale","Comptabilité "
"FIN 2022","Analyse financière et gestion du fonds de roulement","Cours avec examen",4138,"Sciences comptables","Comptabilité "
"SCO 1065","Fiscalité 2","Cours avec examen",4138,"Sciences comptables","Comptabilité "
"SCO 3001","Comptabilité de management et contr[ole ","Cours avec examen",4138,"Sciences comptables","Comptabilité "
"SCO 3202","Comptabilité intermédiaire 1","Cours avec examen",4138,"Sciences comptables","Comptabilité "
"SCO 3212","Comptabilité intermédiaire 2","Cours avec examen",4138,"Sciences comptables","Comptabilité "
"SCO 3214","Gouvernance d'entreprise: aspects comptables et financiers","Cours avec examen",4138,"Sciences comptables","Comptabilité "
"SCO 4001","Certification et éthique professionnelle","Cours avec examen",4138,"Sciences comptables","Comptabilité "
"ADM 3028","Len enjeux éthiques, légaux et sociétaux des TI","Cours avec examen",4138,"Sciences comptables","Comptabilité "
"ADM 4007","Analyse stratégique de l'entreprise","Cours avec examen",4138,"Sciences comptables","Comptabilité "
"ECO 1300","Analyse microéconomique","Cours avec examen",4138,"Sciences comptables","Comptabilité "
"ECO 2400","Analyse macroéconomique","Cours avec examen",4138,"Sciences comptables","Comptabilité "
"FIN 1932","Fonds d'inverstissement et produits finenciers","Cours avec examen",4138,"Sciences comptables","Comptabilité "
"FIN 1936","Valeurs mobilières et gestion de portefeuille","Cours avec examen",4138,"Sciences comptables","Comptabilité "
"FIN 2020","Administration financière 2","Cours avec examen",4138,"Sciences comptables","Comptabilité "
"ADM 1013","Comportement organisationnel","Cours avec examen",6774,"Administration (comptabilité et finance)","Comptabilité "
"ADM 2007","Introduction au marketing","Cours avec examen",6774,"Administration (comptabilité et finance)","Comptabilité "
"SCO 1205","Initiation à la comptabilité financière","Cours avec examen",6774,"Administration (comptabilité et finance)","Comptabilité "
"ADM 1015","Gestion des ressources humaines","Cours avec examen",6774,"Administration (comptabilité et finance)","Comptabilité "
"ADM 2006","Les systèmes d'information de gestion","Cours avec examen",6774,"Administration (comptabilité et finance)","Comptabilité "
"ECO 1300","Analyse microéconomique","Cours avec examen",6774,"Administration (comptabilité et finance)","Comptabilité "
"DRT 1060","Droit des affaires","Cours avec examen",6774,"Administration (comptabilité et finance)","Comptabilité "
"FIN 1020","Administration financière 1","Cours avec examen",6774,"Administration (comptabilité et finance)","Comptabilité "
"ADM 1002","Initiation à la gestion","Cours avec examen",6774,"Administration (comptabilité et finance)","Comptabilité "
"ADM 3011","Éthique et responsabilité sociale des entreprises","Cours avec examen",6774,"Administration (comptabilité et finance)","Comptabilité "
"ECO 2400","Analyse macroéconomique","Cours avec examen",6774,"Administration (comptabilité et finance)","Comptabilité "
"ADM 1420","Gestion des opérations","Cours avec examen",6774,"Administration (comptabilité et finance)","Comptabilité "
"MQT 2001","Statistiques appliquées à la gestion","Cours avec examen",6774,"Administration (comptabilité et finance)","Comptabilité "
"ADM 1402","Entreprise et société","Cours avec examen",6774,"Administration (comptabilité et finance)","Comptabilité "
"ADM 4007","Analyse stratégique de l'entreprise","Cours avec examen",6774,"Administration (comptabilité et finance)","Comptabilité "
"ADM 3028","Len enjeux éthiques, légaux et sociétaux des TI","Cours avec examen",6774,"Administration (comptabilité et finance)","Comptabilité "
"FIN 1936","Valeurs mobilières et gestion de portefeuille","Cours avec examen",6774,"Administration (comptabilité et finance)","Comptabilité "
"FIN 2020","Administration financière 2","Cours avec examen",6774,"Administration (comptabilité et finance)","Comptabilité "
