Sigle du cours,Titre du cours,Description du cours,Type de cours,Nombre de crédits,Charge hebdomadaire,Cycle d'études,Cours préalable,Département responsable, Profil de formation du programme ,Numéro du programme
RIN 1011,Dotation,Acquérir les connaissances et développer les compétences nécessaires pour élaborer un processus de dotation dans une organisation et en comprendre les défis ainsi que les enjeux sous-jacents. ,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
RIN 1012,Droit et pratique des conventions collectives,"Connaître la nature juridique de la convention collective, son fondement dans le droit du travail canadien et québécois. ",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
RIN 1013,Problèmes de santé au travail,La différence entre les notions de santé et de sécurité au travail et la disparité entre les problèmes qui s'y rattachent. D'autres sujets en lien avec les problèmes de santé au travail.,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
RIN 1015,Gestion du dossier de santé et de sécurité au travail,"S'initier aux notions juridiques, administratives et aux pratiques relatives au régime québécois de santé et de sécurité au travail.",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
RIN 1016,Gestion de la rémunération,"Connaître et différencier les composantes de la rémunération globale, leurs liens et leurs limites. Utiliser le langage technique associé à la rémunération.",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
RIN 1017,Les défis de l'intervention préventiveen santé et sécurité au travail,Acquérir un portefeuille de compétences transférables permettant de jouer un rôle stratégique en prévention et d'intervenir efficacement dans diverses situations de santé et de sécurité en milieu de travail.,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
RIN 1022,Négociation collective contemporaine,"S'initier aux notions juridiques, sociologiques, administratives et pratiques relatives à la négociation collective en contexte syndiqué. ",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
RIN 2013,Conciliation emploi-famille et temps de travail,"La problématique de l'organisation et de l'aménagement du temps de travail et des autres temps sociaux en fonction de la conciliation de l'emploi et de la famille, ou de la vie personnelle et professionnelle.",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
RIN 2015,Politiques et pratiques de gestion de la main-d'œuvre vieillissante,"Comprendre, du point de vue de la gestion des ressources humaines et des relations de travail, les enjeux actuels entourant la problématique du vieillissement de la main-d'œuvre. ",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
RIN 4120,"Innovation, organisation du travail et gestion des ressources humaines","Connaissances de base relatives à l'approche de l'évolution technologique et organisationnelle à partir des points de vue de l'économie, de la sociologie, du management et de la gestion des ressources humaines.",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
INF 1160,Les réseaux d'entreprise,S'initier aux principes techniques des réseaux d'entreprise et à leur architecture en vue de participer à la réalisation de projets de conception et de planification de réseaux.,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
INF 1220,Introduction à la programmation,Introduire au concept fondamental d'algorithme. Aborder une résolution de problème d'un point de vue informatique. Introduire aux concepts de base de la programmation orientée-objet. ,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
INF 1250,Introduction aux bases de données,"Se familiariser avec les notions de base des systèmes de gestion de bases de données (SGBD), plus particulièrement avec les composantes du modèle relationnel et autres sujets en lien avec les SGBD.",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
INF 6400,Gestion de connaissances et informatique,"L'économie du savoir. Données, informations et connaissances. Processus de gestion des connaissances : création, capitalisation, récupération et diffusion. ",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
MQT 2420,Récherche opérationnelle,"Maîtriser les techniques de la recherche opérationnelle appliquées à la gestion. Être capable de percevoir un problème, d'identifier ses variables, de le modéliser, de l'optimiser et de l'analyser.",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
ADM 3007,Initiatives de développement local et d'économie sociale,"Se familiariser avec les concepts, les méthodes, les axes d'intervention et les pratiques du développement local ainsi que sa gestion.",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
ECO 2011,Économie du Québec,"Aperçu de l'histoire économique du Québec. Développement, croissance et cycles économiques. Structure économique du Québec et de ses régions.",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
ECO 2015,Économie internationale,Avoir les connaissances de base nécessaires à une bonne compréhension de l'environnement économique international et autres connaissances en lien avec l'économie internationale.,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
ECO 2021,Économie responsable,"Ce cours s'articule autour de quatre éléments clés de l'économie responsable : la justice sociale, la consommation écoresponsable, l'investissement écoresponsable, les politiques publiques écoresponsables.",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
ECO 3003,Économie du travail, Connaissances de base sur les marchés du travail canadien et québécois. Développer des capacités d'analyse des indicateurs relatifs à l'emploi et se familiariser avec les principales théories en économie du travail.,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
ECO 3004,Formation et compétitivité économique,"Connaissances de base sur la formation, ses modalités et son apport à la performance des entreprises et des nations.",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
ECO 3005,Développement économique et emploi,Se familiariser avec les politiques et les pratiques en matière d'emploi et de développement économique de manière à élargir sa vision sur les multiples facteurs qui déterminent leur évolution.,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
ENV 3026,Économie et gestion du développement durable,"Acquérir des connaissances relatives aux concepts et aux outils économiques liées à la gestion du développement durable, à l'échelle locale et internationale.",Cours sans examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
ADM 2014,Devenir entrepreneur,"Découvrir et développer son potentiel entrepreneurial. Se préparer à jouer son futur rôle d'entrepreneur en développant un mode de pensée intuitif, créatif et imaginatif devant conduire à un agir « différencié ».",Cours sans examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
ADM 2115,Réaliser un projet d'affaires,S'initier au processus de création d'entreprise. Se familiariser avec les caractéristiques et les principaux éléments du métier d'entrepreneur.,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
ADM 2115A,Simulation SIM-Plan d'affaires,Se familiariser par la pratique avec les bases de la conception et la rédaction d'un projet d'affaires.,Cours sans examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
ADM 2124,Entrepreneuriat social et entreprise collective,"Aider les dirigeants des organisations collectives existantes qui désirent développer des nouveaux marchés, ainsi qu'aux promoteurs de nouveaux projets collectifs intéressés à valider leur rentabilité financière et sociale. ",A définir prochainement,3,9 heures par semaine,Premier cycle,A définir prochainement,Administration,Administration (cheminement général),7764
ADM 9001,Bâtir une entreprise: des connaissances et des méthodes,Permettre aux gens d'affaires d'acquérir des connaissances utiles et pratiques afin de se lancer en affaires ou pour démarrer son projet d'affaires et sa gestion.,Cours sans examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
ADM 9003,Gestion de la TPE/PME,"Définir les fondements de la TPE/PME. Expliquer l'entrepreneuriat, l'éthique, la responsabilité sociale et le développement durable.",Cours sans examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
ADM 9003A,Gestion TPE/PME: simulation,"Bases de la gestion d'une TPE/PME. Marketing : stratégies de ventes et de commercialisation, évaluation du segment de marché et autres sujets de la gestion d'une TPE/PME.",Cours sans examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
ADM 2021,Marketing international,"S'initier aux fondements du marketing international, aux grandes dimensions de l'environnement économique international ainsi qu'aux procédures et aux démarches d'exportation et d'importation.",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
INT 1010,Introduction au développement international,"Étudier les principaux fondements, pratiques et acteurs du développement international, ainsi que les thèmes qui y sont abordés en priorité, particulièrement l'envergure de la pauvreté dans le monde.",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
INT 2010,Migrations internationales,"Les principaux enjeux soulevés par le phénomène des migrations internationales des points de vue individuel (droits de la personne), national (États, sociétés) et international (régimes et organisations internationales).",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
INT 2020,Théories internationales et mondialisation,"Se familiariser avec les principales approches théoriques en études internationales, afin de mieux saisir les multiples aspects (sociologique, culturel, économique, politique, etc.) de la mondialisation. ",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
INT 2030,"Coopération internationale, gouvernance et développement démocratique",Se familiariser avec les aspects humains et sociaux de la coopération internationale pour le développement. ,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
POL 1010,Introductioon aux relations internationales,S'initier au champ d'études que constituent les relations internationales. Comprendre le fonctionnement et les enjeux de la politique mondiale et saisir la configuration des différents acteurs nationaux et transnationaux.,Cours sans examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
COM 1013,Communication et structures organisationnelles,Se familiariser avec le modèle organisationnel élaboré par Henri Mintzberg afin de pouvoir l'utiliser dans un contexte de communication d'entreprise.,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
COM 3030,La communication interculturelle: une introduction,Comprendre la complexité et les dynamiques de la communication dans des situations d'interaction et d'échange interculturelles.,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
COM 5000,Communication organisationnelle,"S'initier au rôle fondamental de la communication dans les organisations et aux propriétés organisantes de la communication, en survolant les théories, enjeux, pratiques et méthodes de la communication organisationnelle.",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
COM 5002,Culture organisationnelle,Définition du concept de culture organisationnelle. Description des mécanismes de la reproduction de la culture et autres.,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
COM 5003,"Organisation, pouvoir et communication","Principales dimensions du pouvoir dans les organisations selon trois paradigmes : fonctionnaliste, pluraliste et interprétatif. ",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
COM 5004,"Techniques et dynamique de la fonction ""conseil""",Se préparer à jouer un rôle d'intermédiaire entre une organisation et un cabinet-conseil.,Cours sans examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
COM 5022,"Communication électronique, et dynamique organisationnelle","Approfondir ses connaissances quant aux effets des technologies de la communication en contexte organisationnel et aux enjeux communicationnels, organisationnels et éthiques découlant de leur usage.",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
RPL 2003,Introduction aux relations publiques,S'initier aux théories et aux pratiques professionnelles en relations publiques.,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
RPL 2004,Le plan de communication,"Concevoir et réaliser des plans de communication destinés à résoudre des problèmes spécifiques de communication dans une organisation, tant à l'interne qu'à l'externe. ",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
DRT 1062,Gouvernance de l'entreprise et responsabilités juridiques des administrateurs,"Les règles régissant la gouvernance de l'entreprise, notamment les responsabilités juridiques de l'administrateur de la société et de ses dirigeants. ",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
DRT 1080,Droit du travail au Québec,Définir les concepts clés du droit du travail au Québec. Distinguer les régimes québécois et canadien de droit du travail et les organisations assujetties à l'un et à l'autre.,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
EUT 4138,Gestion des événements et congrès,"La dynamique qui caractérise le secteur des événements, des foires et des congrès. Situer l'importance économique et stratégique de ce secteur au sein de l'industrie touristique.",Cours avec examen,3,9 heures par semaine,Premier cycle,ADM 1002,Administration,Administration (cheminement général),7764
EUT 5109,Tourisme urbain,Étudier certaines dimensions de la ville et mettre en évidence leur importance pour le tourisme. Analyser le tourisme urbain au niveau international comme secteur de pointe de l'industrie touristique.,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
EUT 5120,Tourisme de nature et d'aventures,Connaître les grandes influences qui façonnent le rapport entre l'humain et le milieu naturel. Acquérir une connaissance approfondie des moyens d'intervention.,Information manquante,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
ENP 7303,Management des organisations publiques - ENAP,Ce cours vise à étudier la multiplicité des éléments qui composent la pratique du management public ainsi que leurs interrelations de façon à approfondir la complexité inhérente à la gestion des organisations publiques. ,Information manquante,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
ENP 7333,Conception et mise en œuvre des politiques publiques - ENAP,"intervenir plus efficacement dans la conception, la mise en oeuvre et le suivi de politiques publiques au sein d'un appareil administratif ou d'une organisation.",Information manquante,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
ENP 7505,Principes et enjeux de l'administration publique - ENAP,"Ce cours présente le cadre particulier du fonctionnement de l'administration publique (cadre politique, intérêt public, notion de contrat social, de démocratie et de gouvernance). ",Information manquante,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
ENP 7350,Méthodes de recherche et d'intervention - ENAP,Le cours porte sur la démarche et les techniques les plus couramment utilisées pour étudier des problèmes ou enjeux de l'administration publique.,Information manquante,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
ENP 77332,Gestiond par résultats - ENAP,Acquérir une conception large des exigences de la GPR et des techniques appropriées à cette philosophie de gestion publique. ,Information manquante,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
ADM 4010,Stratégie d'entreprise,Introduction à la méthode de l'étude de cas suivie d'applications à trois cas différents. Un exercice virtuel qui permettra la mise en pratique de ses décisions et recommandations est à effectuer. ,Cours avec examen,3,9 heures par semaine,Premier cycle,ADM 4007,Administration,Administration (cheminement général),7764
ADM 4051,Intervention en management,"Dans le cadre de ce cours, l'étudiant est appelé à adopter une posture réflexive dans la réalisation de différentes activités de gestion.",Cours sans examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
ADM 4061,Observation en management,Développer une posture réflexive sur le métier de gestionnaire ou de spécialiste dans un domaine d'expertise spécifique de la gestion. ,Cours sans examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général),7764
ADM 1013,Comportement organisationnel,Le gestionnaire et le comportement organisationnel.,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général bilingue - français/anglais),7364
ADM 2007,Introduction au marketing,Connaissances des principes de base du marketing et maîtriser les étapes de la planification marketing.,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général bilingue - français/anglais),7364
SCO 1205,Initiation à la comptabilité financière,Les connaissances de base en comptabilité financière en ce qui a trait à la préparation et à la présentation des états financiers. Les compétences nécessaires à la réalisation du cycle comptable,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général bilingue - français/anglais),7364
ADM 1015,Gestion des ressources humaines,Connaissances théoriques de la gestion des ressources humaines et à sa pratique dans un environnement en constant changement.,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général bilingue - français/anglais),7364
ADM 2006,Les systèmes d'information de gestion,"Les organisations, la gestion et l'entreprise en réseau. L'infrastructure de la technologie de l'information.",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général bilingue - français/anglais),7364
ECO 1300,Analyse microéconomique,Les concepts et les mécanismes microéconomiques nécessaires à la lecture et à l'interprétation de l'information économique disponible.,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général bilingue - français/anglais),7364
DRT 1060,Droit des affaires,Introduction au droit québécois et canadien. Formation et effets du contrat. Responsabilité civile extracontractuelle.,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général bilingue - français/anglais),7364
FIN 1020,Administration financière 1,Les principes fondamentaux de la finance. Maîtriser les principales notions des mathématiques financières. Connaître les critères de choix des investissements. Évaluer un projet d'investissement en tenant compte de ses impacts fiscaux.,Cours avec examen,3,9 heures par semaine,Premier cycle,SCO 1205,Administration,Administration (cheminement général bilingue - français/anglais),7364
ADM 1002,Initiation à la gestion,Un cours d'initiation au domaine de la gestion.,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général bilingue - français/anglais),7364
ADM 3011,Éthique et responsabilité sociale des entreprises,Connaissances théoriques et appliquées sur l'éthique et la responsabilité sociale de l'entreprise (RSE).,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général bilingue - français/anglais),7364
ECO 2400,Analyse macroéconomique,"Concept de la macroéconomie : chômage, inflation et croissance économique. Les grands indicateurs macroéconomiques et leur mesure : PIB, inflation. ",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général bilingue - français/anglais),7364
ADM 1420,Gestion des opérations,"Analyse de la place de la fonction gestion des opérations dans l'organisation. Étude des notions de base : la productivité et la compétitivité; la conception, le développement et l'amélioration des produits et autres.",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général bilingue - français/anglais),7364
MQT 2001,Statistiques appliquées à la gestion,"Maîtriser les divers aspects de l'inférence statistique (échantillonnage, estimation de paramètres et tests d'hypothèse) pour l'analyse et la résolution de problèmes de gestion.",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général bilingue - français/anglais),7364
ADM 1402,Entreprise et société,"Le capitalisme : évolution de la société capitaliste et de la diversité des formes de capitalisme à l'échelle internationale. Analyse sociologique de l'entreprise : acteurs, buts, ressources, enjeux, régulations et identités. ",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général bilingue - français/anglais),7364
ADM 4007,Analyse stratégique de l'entreprise,Comprendre l'importance du management stratégique. Connaître la terminologie et les concepts relatifs au management stratégique. ,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général bilingue - français/anglais),7364
ADM 1400,Théories de l'organisation,"décoder des situations organisationnelles concrètes. Série de métaphores de l'organisation, les exploiter pour décoder des situations organisationnelles.",Cours sans examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général bilingue - français/anglais),7364
ADM 3028,"Len enjeux éthiques, légaux et sociétaux des TI","Identifier les bénéfices offerts par les TI dans plusieurs domaines et les risques associés à ces technologies. Différencier les principales lois en matière de violation de la propriété intellectuelle, du vol d'identité.",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général bilingue - français/anglais),7364
SCO 2006,Contrôle de gestion,Connaître et savoir utiliser certains outils de contrôle et de planification des opérations des entreprises commerciales et industrielles. ,Cours avec examen,,9 heures par semaine,Premier cycle,SCO 1205,Administration,Administration (cheminement général bilingue - français/anglais),7364
ADM 1012,Le management du changement,Analyser le changement organisationnel du point de vue du management. Analyser le changement organisationnel du point de vue du management.,Cours avec examen,3,9 heures par semaine,Premier cycle,ADM 1002 ou ADM 1101 ou ADM 1105,Administration,Administration (cheminement général bilingue - français/anglais),7364
ADM 1018,Leadership,Se familiariser avec les théories des penseurs classiques du leadership ainsi qu'avec les mouvements émergents dans le domaine.,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général bilingue - français/anglais),7364
ADM 1404,Travail et société,"Le contexte et les outils théoriques. Le concept de travail comme construction sociale récente. Le travail, l'industrialisation et la modernité. ",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général bilingue - français/anglais),7364
ADM 1450,Initiation à la gestion de projets,"Définition de ce que sont les projets. Description des types de projets, des phases et des outils de planification et de contrôle. ",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général bilingue - français/anglais),7364
ADM 3012,Gestion de la diversité culturelle,Se familiariser avec les principales notions et pratiques de gestion appropriées aux rapports interculturels.,Cours avec examen,4,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général bilingue - français/anglais),7364
ADM 3013,Gestion de la responsabilité sociale des entreprises,Décrire les stratégies et les pratiques de responsabilité sociale et environnementales qui émergent actuellement et la manière dont elles s'intègrent aux fonctions de l'entreprise.,A définir prochainement,3,9 heures par semaine,Premier cycle,A définir prochainement,Administration,Administration (cheminement général bilingue - français/anglais),7364
ADM 2009,Marketing responsable,Les conditions qui ont favorisé l'émergence du marketing responsable. Les concepts liés au marketing responsable et expliquer les nuances et les subtilités qui les distinguent.,Cours avec examen,4,10 heures par semaine,Premier cycle,ADM 2007,Administration,Administration (cheminement général bilingue - français/anglais),7364
ADM 2013,Publicité et promotion pour les entreprises de services,Comprendre le rôle que remplit la communication promotionnelle dans les organisations. Décrire les outils de publicité et de promotion ainsi que leur mode d'influence sur le comportement des consommateurs.,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général bilingue - français/anglais),7364
ADM 2015,Comportement du consommateur,"Connaître les principales théories et approches en comportement du consommateur. Comprendre l'apport des disciplines connexes, comme la psychologie, la sociologie, l'anthropologie, l'économie, etc.",Cours avec examen,5,9 heures par semaine,Premier cycle,ADM 2007,Administration,Administration (cheminement général bilingue - français/anglais),7364
ADM 2016,Gestion de la relation de vente,La stratégie orientée vers les marchés et la gestion des ventes. La compréhension des marchés. La prévision des ventes à partir de l'analyse des ventes et de la concurrence.,Cours avec examen,3,9 heures par semaine,Premier cycle,ADM 2007,Administration,Administration (cheminement général bilingue - français/anglais),7364
ADM 2017,Marketing des commerces de détail et expérience client,"Comprendre le vocabulaire, les concepts et les théories de base liés au marketing du commerce de détail et à la gestion de l'expérience client.",Cours avec examen,3,9 heures par semaine,Premier cycle,ADM 2007,Administration,Administration (cheminement général bilingue - français/anglais),7364
ADM 2112,Recherche marketing,Le processus de recherche dans le contexte de la prise de décision en marketing. Les méthodes et les outils de la recherche en marketing.,Cours avec examen,6,9 heures par semaine,Premier cycle,ADM 2007,Administration,Administration (cheminement général bilingue - français/anglais),7364
ADM 2116,Stratégie marketing,Les éléments de l'environnement et de la demande qui sont essentiels à analyser ainsi que les études à mener par l'entreprise pour y arriver.,Cours avec examen,7,9 heures par semaine,Premier cycle,"ADM 2007, ADM 2015 et ADM 2112",Administration,Administration (cheminement général bilingue - français/anglais),7364
FIN 2020,Administration financière 2,Se familiariser avec la notion de risque. Saisir l'importance du facteur incertitude lors de la prise de décision d'investissement. ,Cours avec examen,3,9 heures par semaine,Premier cycle,FIN 1020,Administration,Administration (cheminement général bilingue - français/anglais),7364
FIN 2301,Paradis fiscaux et finance offshore,"Ce cours étudie la finance offshore. Il clarifie ses liens avec les paradis fiscaux, les juridictions offshores et les centres financiers extraterritoriaux.",Cours sans examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général bilingue - français/anglais),7364
FIN 3120,Éléments d'analyse du crédit productif en microfinance,"Notions de base de la microfinance : principes clés de la microfinance, clientèle cible, rôle du microcrédit, facteurs de succès et d'échec du microcrédit, principes d'octroi du microcrédit.",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général bilingue - français/anglais),7364
SCO 1060,Fiscalité 1,Les différentes règles d'assujettissement à l'impôt ainsi que des droits et obligations des contribuables en matière de déclaration de revenus. Les principes de calcul des différentes sources de revenus,Cours avec examen,3,9 heures par semaine,Premier cycle,SCO 1205,Administration,Administration (cheminement général bilingue - français/anglais),7364
SCO 1065,Fiscalité 2,Les connaissances  des dispositions fiscales de la Loi de l'impôt sur le revenu du Canada et d'appliquer ces règles fiscales dans la vie quotidienne de l'entreprise dont la forme juridique est celle d'une société.,Cours avec examen,3,9 heures par semaine,Premier cycle,SCO 1060,Administration,Administration (cheminement général bilingue - français/anglais),7364
SCO 2205,Présentation et analyse des états financiers,Référentiels comptables (normes comptables pour les entreprises à capital fermé et IFRS); nature et caractéristiques de l'information comptable et autres.,Cours avec examen,3,9 heures par semaine,Premier cycle,SCO 1205,Administration,Administration (cheminement général bilingue - français/anglais),7364
SCO 3202,Comptabilité intermédiaire 1,"Connaissances liées aux diverses ressources économiques d'une entreprise : comprendre, évaluer, comptabiliser et présenter les différentes composantes de l'actif dans les états financiers et autres.",Cours avec examen,3,9 heures par semaine,Premier cycle,SCO 1205,Administration,Administration (cheminement général bilingue - français/anglais),7364
SCO 3212,Comptabilité intermédiaire 2,"Approfondir les connaissances sur l'évaluation, la comptabilisation et la présentation des sources de capitaux (capitaux propres et passifs). ",Cours avec examen,3,9 heures par semaine,Premier cycle,SCO 3202,Administration,Administration (cheminement général bilingue - français/anglais),7364
ADM 1700,Principes de l'assurance de personnes,Les éléments clés de la planification financière des particuliers en matière d'assurances personnelles et de rentes. Identifier les besoins auxquels répondent les produits d'assurance et de rentes.,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général bilingue - français/anglais),7364
ADM 7012,Retraite et planification successorale,Acquérir les connaissances nécessaires à la réalisation des objectifs de retraite d'un particulier. Être capable d'effectuer une planification successorale pour la retraite. ,Cours avec examen,3,9 heures par semaine,Premier cycle,ADM 1700 et SCO 1060,Administration,Administration (cheminement général bilingue - français/anglais),7364
ADM 7014,Approfondissement de la planification successorale,Approfondir ses connaissances en planification successorale dans le contexte d'une planification financière personnelle intégrée (PFPI).,Cours avec examen,3,9 heures par semaine,Premier cycle,ADM 7012,Administration,Administration (cheminement général bilingue - français/anglais),7364
ADM 7015,Stratégies de sollicitation en planification financière personnelle,Se familiariser avec la fonction marketing dans le contexte de services financiers. Acquérir les outils de base pour analyser et comprendre la dynamique des marchés financiers. ,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général bilingue - français/anglais),7364
ADM 7030,Activité d'intégration en planification financière,"Pratique de la planification financière : démarche professionnelle, communication relationnelle, processus de vente professionnelle et autres.",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général bilingue - français/anglais),7364
DRT 1910,Aspects juridiques pour planificateurs financiers,Développer les habiletés juridiques de base exigées dans tout poste professionnel en planification financière.,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général bilingue - français/anglais),7364
FIN 1932,Fonds d'inverstissement et produits finenciers,Transmettre les compétences requises aux professionnels appelés à offrir des services consultatifs en matière de planification financière aux particuliers. ,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Administration (cheminement général bilingue - français/anglais),7364
SCO 1064,Fiscalité 2 pour planificateurs financiers,Les mécanismes d'inclusion des revenus provenant de sociétés de personnes et de fiducies dans la déclaration de revenu d'un contribuable et autres.,Cours avec examen,3,9 heures par semaine,Premier cycle,SCO 1060,Administration,Administration (cheminement général bilingue - français/anglais),7364
