c_SigleDuCours,c_TitreDuCours,c_TypeDuCours,c_NuméroDuProgramme,c_ProfilDeFormationDuprogramme,c_DépartementResponsable
"ENV 6008","Modélisation et systèmes d'aide à la décision en environnement","Cours sans examen",1937,"Environnement international (profil professionnel)",Environnement
"ENV 6010","Gestion des zones côtières: écotourisme et activités d'observation des mammifères marins","Cours sans examen",1937,"Environnement international (profil professionnel)",Environnement
"ENV 6011","Fondements et pratiques en santé environnementale","Cours sans examen",1937,"Environnement international (profil professionnel)",Environnement
"ENV 6012","Aires marines protégées : conservation et protection de l'habitat des cétacés","Cours sans examen",1937,"Environnement international (profil professionnel)",Environnement
"ENV 6410","Lectures dirigées","Cours sans examen",1937,"Environnement international (profil professionnel)",Environnement
"ENV 6415","Projet personnel","Cours sans examen",1937,"Environnement international (profil professionnel)",Environnement
"ENV 6425",Séminaire,"Cours sans examen",1937,"Environnement international (profil professionnel)",Environnement
"ENV 6000","Pensées écologiques et environnement international","Cours sans examen",1938,"Environnement international (profil recherche appliquée)",Environnement
"ENV 6002","Gestion internationale du développement durable","Cours sans examen",1938,"Environnement international (profil recherche appliquée)",Environnement
"ENV 6003","Changements climatiques: impacts, adaptation, mitigation","Cours sans examen",1938,"Environnement international (profil recherche appliquée)",Environnement
"ENV 6005","Populations, écosystèmes et services écosystémiques","Cours sans examen",1938,"Environnement international (profil recherche appliquée)",Environnement
"ENV 6006","Résolution de problèmes environnementaux","Cours sans examen",1938,"Environnement international (profil recherche appliquée)",Environnement
"ENV 6007","Océans et gestion intégrée des zones côtières","Cours sans examen",1938,"Environnement international (profil recherche appliquée)",Environnement
"ENV 6008","Modélisation et systèmes d'aide à la décision en environnement","Cours sans examen",1938,"Environnement international (profil recherche appliquée)",Environnement
"ENV 6010","Gestion des zones côtières: écotourisme et activités d'observation des mammifères marins","Cours sans examen",1938,"Environnement international (profil recherche appliquée)",Environnement
"ENV 6011","Fondements et pratiques en santé environnementale","Cours sans examen",1938,"Environnement international (profil recherche appliquée)",Environnement
"ENV 6012","Aires marines protégées : conservation et protection de l'habitat des cétacés","Cours sans examen",1938,"Environnement international (profil recherche appliquée)",Environnement
"ENV 6410","Lectures dirigées","Cours sans examen",1938,"Environnement international (profil recherche appliquée)",Environnement
"ENV 6420","Recherche appliquée","Cours sans examen",1938,"Environnement international (profil recherche appliquée)",Environnement
"ENV 6425",Séminaire,"Cours sans examen",1938,"Environnement international (profil recherche appliquée)",Environnement
"ENV 6007","Océans et gestion intégrée des zones côtières","Cours sans examen",2477,"Gestion intégrée des zones côtières (profil professionnel)",Environnement
"ENV 6010","Gestion des zones côtières: écotourisme et activités d'observation des mammifères marins","Cours sans examen",2477,"Gestion intégrée des zones côtières (profil professionnel)",Environnement
"ENV 6006","Résolution de problèmes environnementaux","Cours sans examen",2477,"Gestion intégrée des zones côtières (profil professionnel)",Environnement
"ENV 6012","Aires marines protégées : conservation et protection de l'habitat des cétacés","Cours sans examen",2477,"Gestion intégrée des zones côtières (profil professionnel)",Environnement
"ENV 6003","Changements climatiques: impacts, adaptation, mitigation","Cours sans examen",2477,"Gestion intégrée des zones côtières (profil professionnel)",Environnement
"ENV 6011","Fondements et pratiques en santé environnementale","Cours sans examen",2477,"Gestion intégrée des zones côtières (profil professionnel)",Environnement
"ENV 6008","Modélisation et systèmes d'aide à la décision en environnement","Cours sans examen",2477,"Gestion intégrée des zones côtières (profil professionnel)",Environnement
"ENV 6410","Lectures dirigées","Cours sans examen",2477,"Gestion intégrée des zones côtières (profil professionnel)",Environnement
"ENV 6415","Projet personnel","Cours sans examen",2477,"Gestion intégrée des zones côtières (profil professionnel)",Environnement
"ENV 6007","Océans et gestion intégrée des zones côtières","Cours sans examen",2478,"Gestion intégrée des zones côtières (profil recherche appliquée)",Environnement
"ENV 6006","Résolution de problèmes environnementaux","Cours sans examen",2478,"Gestion intégrée des zones côtières (profil recherche appliquée)",Environnement
"ENV 6010","Gestion des zones côtières: écotourisme et activités d'observation des mammifères marins","Cours sans examen",2478,"Gestion intégrée des zones côtières (profil recherche appliquée)",Environnement
"ENV 6012","Aires marines protégées : conservation et protection de l'habitat des cétacés","Cours sans examen",2478,"Gestion intégrée des zones côtières (profil recherche appliquée)",Environnement
"ENV 6003","Changements climatiques: impacts, adaptation, mitigation","Cours sans examen",2478,"Gestion intégrée des zones côtières (profil recherche appliquée)",Environnement
"ENV 6011","Fondements et pratiques en santé environnementale","Cours sans examen",2478,"Gestion intégrée des zones côtières (profil recherche appliquée)",Environnement
"ENV 6008","Modélisation et systèmes d'aide à la décision en environnement","Cours sans examen",2478,"Gestion intégrée des zones côtières (profil recherche appliquée)",Environnement
"ENV 6410","Lectures dirigées","Cours sans examen",2478,"Gestion intégrée des zones côtières (profil recherche appliquée)",Environnement
"ENV 6420","Recherche appliquée","Cours sans examen",2478,"Gestion intégrée des zones côtières (profil recherche appliquée)",Environnement
"ENV 6425",Séminaire,"Cours sans examen",2478,"Gestion intégrée des zones côtières (profil recherche appliquée)",Environnement
"ADM 1400","Théories de l'organisation","Cours sans examen",6774,"Administration (comptabilité et finance)",Finance
"FIN 2024","Évaluation d'entreprise","Cours sans examen",6774,"Administration (comptabilité et finance)",Finance
"FIN 2301","Paradis fiscaux et finance offshore","Cours sans examen",6774,"Administration (comptabilité et finance)",Finance
"ADM 1400","Théories de l'organisation","Cours sans examen",6770,"Administration (planification financière)",Finance
"ADM 4052","Intervention en planification financière","Cours sans examen",6770,"Administration (planification financière)",Finance
"ADM 4062","Observation en planification financière","Cours sans examen",6770,"Administration (planification financière)",Finance
"FIN 6304","Fusions, acquisitions et restructurations d'entreprises","Cours sans examen",3116,"Finance d'entreprise",Finance
FIN6402,"Projet personnel","Cours sans examen",3116,"Finance d'entreprise",Finance
"ADM 6030","Gestion des risques en affaires électroniques","Cours sans examen",3116,"Finance d'entreprise",Finance
"FIN 6302","Stratégie financière et création de la valeur","Cours sans examen",3116,"Finance d'entreprise",Finance
"ADM 1400","Théories de l'organisation","Cours sans examen",4209,"Gestion des ressources humaines","Gestion des ressources  humaines et relations de travail"
"ADM 1400","Théories de l'organisation","Cours sans examen",7564,"Administration (gestion des ressources humaines)","Gestion des ressources  humaines et relations de travail"
"ADM 3053","Portfolio de formation en gestion des ressources humaines","Cours sans examen",7564,"Administration (gestion des ressources humaines)","Gestion des ressources  humaines et relations de travail"
"ADM 4056","Intervention en gestion des ressources humaines","Cours sans examen",7564,"Administration (gestion des ressources humaines)","Gestion des ressources  humaines et relations de travail"
"RIN 1012","Droit et pratique des conventions collectives","Cours sans examen",7564,"Administration (gestion des ressources humaines)","Gestion des ressources  humaines et relations de travail"
"RIN 1013","Problèmes de santé au travail","Cours sans examen",7564,"Administration (gestion des ressources humaines)","Gestion des ressources  humaines et relations de travail"
"ADM 6501","Gestion des ressources humaines dans l'économie du savoir","Cours sans examen",679,"Gestion contemporaine des ressources humaines","Gestion des ressources  humaines et relations de travail"
"ADM 6216","Leadership et travail d'équipe","Cours sans examen",679,"Gestion contemporaine des ressources humaines","Gestion des ressources  humaines et relations de travail"
"ADM 6530","Projet d'intégration","Cours sans examen",679,"Gestion contemporaine des ressources humaines","Gestion des ressources  humaines et relations de travail"
"ADM 6508","Management et transfert des connaissances","Cours sans examen",679,"Gestion contemporaine des ressources humaines","Gestion des ressources  humaines et relations de travail"
"ADM 6520","La santé et la sécurité au travail face à la diversification des réalités organiisationnelles","Cours sans examen",679,"Gestion contemporaine des ressources humaines","Gestion des ressources  humaines et relations de travail"
"ADM 6525","Enjeux contemporains dans la gestion de carrières","Cours sans examen",679,"Gestion contemporaine des ressources humaines","Gestion des ressources  humaines et relations de travail"
"EDU 1033","Gestion de projets et compétence numérique en milieu de travail","Cours sans examen",679,"Gestion contemporaine des ressources humaines","Gestion des ressources  humaines et relations de travail"
"ADM 6510","Gestion des ressources humaines en contexte de projet","Cours sans examen",767,"Gestion des ressources humaines en contexte de projet","Gestion des ressources  humaines et relations de travail"
"ADM 6508","Management et transfert des connaissances","Cours sans examen",767,"Gestion des ressources humaines en contexte de projet","Gestion des ressources  humaines et relations de travail"
"ADM 6506","Gestion des conflits en contexte de projet","Cours sans examen",767,"Gestion des ressources humaines en contexte de projet","Gestion des ressources  humaines et relations de travail"
"ADM 6505","Activité de synthèse","Cours sans examen",767,"Gestion des ressources humaines en contexte de projet","Gestion des ressources  humaines et relations de travail"
"ADM 6501","Gestion des ressources humaines dans l'économie du savoir","Cours sans examen",1658,"Gestion des ressources humaines dans l'économie du savoir","Gestion des ressources  humaines et relations de travail"
"ADM 6506","Gestion des conflits en contexte de projet","Cours sans examen",1658,"Gestion des ressources humaines dans l'économie du savoir","Gestion des ressources  humaines et relations de travail"
"ADM 6508","Management et transfert des connaissances","Cours sans examen",1658,"Gestion des ressources humaines dans l'économie du savoir","Gestion des ressources  humaines et relations de travail"
"ADM 6525","Enjeux contemporains dans la gestion de carrières","Cours sans examen",1658,"Gestion des ressources humaines dans l'économie du savoir","Gestion des ressources  humaines et relations de travail"
"ADM 6205","Gestion de projets et créativité","Cours sans examen",1658,"Gestion des ressources humaines dans l'économie du savoir","Gestion des ressources  humaines et relations de travail"
"ADM 6216","Leadership et travail d'équipe","Cours sans examen",1658,"Gestion des ressources humaines dans l'économie du savoir","Gestion des ressources  humaines et relations de travail"
"ADM 6510","Gestion des ressources humaines en contexte de projet","Cours sans examen",1658,"Gestion des ressources humaines dans l'économie du savoir","Gestion des ressources  humaines et relations de travail"
"ADM 6512","Sens du travail","Cours sans examen",1658,"Gestion des ressources humaines dans l'économie du savoir","Gestion des ressources  humaines et relations de travail"
"ADM 6520","La santé et la sécurité au travail face à la diversification des réalités organiisationnelles","Cours sans examen",1658,"Gestion des ressources humaines dans l'économie du savoir","Gestion des ressources  humaines et relations de travail"
"ADM 6514","Projet personnel","Cours sans examen",1658,"Gestion des ressources humaines dans l'économie du savoir","Gestion des ressources  humaines et relations de travail"
"ADM 6515","Activité de synthèse","Cours sans examen",1658,"Gestion des ressources humaines dans l'économie du savoir","Gestion des ressources  humaines et relations de travail"
"ADM 6010","Marketing en affaires électroniques","Cours sans examen",9362,"Gestion de la transformation numérique","Gestion des technologies de l'information"
"ADM 6030","Gestion des risques en affaires électroniques","Cours sans examen",9362,"Gestion de la transformation numérique","Gestion des technologies de l'information"
"ADM 6052","Transformation numérique organisationnelle","Cours sans examen",9362,"Gestion de la transformation numérique","Gestion des technologies de l'information"
"ADM 6010","Marketing en affaires électroniques","Cours sans examen",589,"Gouvernance des technologies de l'information","Gestion des technologies de l'information"
"ADM 6030","Gestion des risques en affaires électroniques","Cours sans examen",589,"Gouvernance des technologies de l'information","Gestion des technologies de l'information"
"ADM 6052","Transformation numérique organisationnelle","Cours sans examen",589,"Gouvernance des technologies de l'information","Gestion des technologies de l'information"
"ADM 6030","Gestion des risques en affaires électroniques","Cours sans examen",1910,"Gouvernance des technologies de l'information","Gestion des technologies de l'information"
"ADM 6052","Transformation numérique organisationnelle","Cours sans examen",1910,"Gouvernance des technologies de l'information","Gestion des technologies de l'information"
"ADM 6028R","Lectures dirigées","Cours sans examen",1910,"Gouvernance des technologies de l'information","Gestion des technologies de l'information"
"ADM 6010","Marketing en affaires électroniques","Cours sans examen",1910,"Gouvernance des technologies de l'information","Gestion des technologies de l'information"
"INF 6107","Web social","Cours sans examen",1910,"Gouvernance des technologies de l'information","Gestion des technologies de l'information"
"ADM 6010","Marketing en affaires électroniques","Cours sans examen",1811,"Sciences (technologie de l'information), profil avec mémoire","Gestion des technologies de l'information"
"ADM 6030","Gestion des risques en affaires électroniques","Cours sans examen",1811,"Sciences (technologie de l'information), profil avec mémoire","Gestion des technologies de l'information"
"ADM 6052","Transformation numérique organisationnelle","Cours sans examen",1811,"Sciences (technologie de l'information), profil avec mémoire","Gestion des technologies de l'information"
"ENV 6008","Modélisation et systèmes d'aide à la décision en environnement","Cours sans examen",1811,"Sciences (technologie de l'information), profil avec mémoire","Gestion des technologies de l'information"
"INF 6409","Forage de données","Cours sans examen",1811,"Sciences (technologie de l'information), profil avec mémoire","Gestion des technologies de l'information"
"INF 6065","Sécurité des réeaux et des systèmes informatiques","Cours sans examen",1811,"Sciences (technologie de l'information), profil avec mémoire","Gestion des technologies de l'information"
"INF 6070","Technologies sémantiques pour la gestion des connaissances","Cours sans examen",1811,"Sciences (technologie de l'information), profil avec mémoire","Gestion des technologies de l'information"
"INF 6107","Web social","Cours sans examen",1811,"Sciences (technologie de l'information), profil avec mémoire","Gestion des technologies de l'information"
"TED 6520","Environnements d'apprentissage intelligents","Cours sans examen",1811,"Sciences (technologie de l'information), profil avec mémoire","Gestion des technologies de l'information"
"MTI 6405","Projet individuel","Cours sans examen",1811,"Sciences (technologie de l'information), profil avec mémoire","Gestion des technologies de l'information"
"MTI 6500",Mémoire,"Cours sans examen",1811,"Sciences (technologie de l'information), profil avec mémoire","Gestion des technologies de l'information"
"ADM 6010","Marketing en affaires électroniques","Cours sans examen",1810,"Sciences (technologie de l'information), profil sans mémoire","Gestion des technologies de l'information"
"ADM 6030","Gestion des risques en affaires électroniques","Cours sans examen",1810,"Sciences (technologie de l'information), profil sans mémoire","Gestion des technologies de l'information"
"ADM 6052","Transformation numérique organisationnelle","Cours sans examen",1810,"Sciences (technologie de l'information), profil sans mémoire","Gestion des technologies de l'information"
"ENV 6008","Modélisation et systèmes d'aide à la décision en environnement","Cours sans examen",1810,"Sciences (technologie de l'information), profil sans mémoire","Gestion des technologies de l'information"
"INF 6409","Forage de données","Cours sans examen",1810,"Sciences (technologie de l'information), profil sans mémoire","Gestion des technologies de l'information"
"INF 6065","Sécurité des réeaux et des systèmes informatiques","Cours sans examen",1810,"Sciences (technologie de l'information), profil sans mémoire","Gestion des technologies de l'information"
"INF 6070","Technologies sémantiques pour la gestion des connaissances","Cours sans examen",1810,"Sciences (technologie de l'information), profil sans mémoire","Gestion des technologies de l'information"
"INF 6107","Web social","Cours sans examen",1810,"Sciences (technologie de l'information), profil sans mémoire","Gestion des technologies de l'information"
"TED 6520","Environnements d'apprentissage intelligents","Cours sans examen",1810,"Sciences (technologie de l'information), profil sans mémoire","Gestion des technologies de l'information"
"MTI 6012","Travail dirigé","Cours sans examen",1810,"Sciences (technologie de l'information), profil sans mémoire","Gestion des technologies de l'information"
"MTI 6006R","Cours dirigé","Cours sans examen",1810,"Sciences (technologie de l'information), profil sans mémoire","Gestion des technologies de l'information"
"INF 1410","Génie logiciel","Cours sans examen",127,"Développement de logiciels","Informatique et technologies de l'information"
"INF 1410","Génie logiciel","Cours sans examen",4128,"Informatique appliquée","Informatique et technologies de l'information"
"INF 4018","Projet d'intégration","Cours sans examen",4128,"Informatique appliquée","Informatique et technologies de l'information"
"INF 6400","Gestion de connaissances en informatique","Cours sans examen",4128,"Informatique appliquée","Informatique et technologies de l'information"
"SCI 1017","Traitement de données massives","Cours sans examen",4865,"Science des données","Informatique et technologies de l'information"
"SCI 1402","Projet en science des données","Cours sans examen",4865,"Science des données","Informatique et technologies de l'information"
"SCI 1035","Apprentissage profond","Cours sans examen",4865,"Science des données","Informatique et technologies de l'information"
"INF 1410","Génie logiciel","Cours sans examen",6010,"Informatique ","Informatique et technologies de l'information"
"INF 1430","Projet de fin d'études","Cours sans examen",6010,"Informatique ","Informatique et technologies de l'information"
"INF 6400","Gestion de connaissances en informatique","Cours sans examen",6010,"Informatique ","Informatique et technologies de l'information"
"SCI 1017","Traitement de données massives","Cours sans examen",6010,"Informatique ","Informatique et technologies de l'information"
"ENV 6008","Modélisation et systèmes d'aide à la décision en environnement","Cours sans examen",810,"Technologie de l'information","Informatique et technologies de l'information"
"INF 6409","Forage de données","Cours sans examen",810,"Technologie de l'information","Informatique et technologies de l'information"
"INF 6065","Sécurité des réseaux et des systèmes informatiques","Cours sans examen",810,"Technologie de l'information","Informatique et technologies de l'information"
"INF 6070","Technologies sémantiques pour la gestion des connaissances","Cours sans examen",810,"Technologie de l'information","Informatique et technologies de l'information"
"INF 6107","Web social","Cours sans examen",810,"Technologie de l'information","Informatique et technologies de l'information"
"ADM 6010","Marketing en affaires électroniques","Cours sans examen",1811,"Sciences (technologie de l'information), profil avec mémoire","Informatique et technologies de l'information"
"ADM 6030","Gestion des risques en affaires électroniques","Cours sans examen",1811,"Sciences (technologie de l'information), profil avec mémoire","Informatique et technologies de l'information"
"ADM 6052","Transformation numérique organisationnelle","Cours sans examen",1811,"Sciences (technologie de l'information), profil avec mémoire","Informatique et technologies de l'information"
"ENV 6008","Modélisation et systèmes d'aide à la décision en environnement","Cours sans examen",1811,"Sciences (technologie de l'information), profil avec mémoire","Informatique et technologies de l'information"
"INF 6409","Forage de données","Cours sans examen",1811,"Sciences (technologie de l'information), profil avec mémoire","Informatique et technologies de l'information"
"INF 6065","Sécurité des réeaux et des systèmes informatiques","Cours sans examen",1811,"Sciences (technologie de l'information), profil avec mémoire","Informatique et technologies de l'information"
"INF 6070","Technologies sémantiques pour la gestion des connaissances","Cours sans examen",1811,"Sciences (technologie de l'information), profil avec mémoire","Informatique et technologies de l'information"
"INF 6107","Web social","Cours sans examen",1811,"Sciences (technologie de l'information), profil avec mémoire","Informatique et technologies de l'information"
"TED 6520","Environnements d'apprentissage intelligents","Cours sans examen",1811,"Sciences (technologie de l'information), profil avec mémoire","Informatique et technologies de l'information"
"MTI 6405","Projet individuel","Cours sans examen",1811,"Sciences (technologie de l'information), profil avec mémoire","Informatique et technologies de l'information"
"MTI 6500",Mémoire,"Cours sans examen",1811,"Sciences (technologie de l'information), profil avec mémoire","Informatique et technologies de l'information"
"ADM 6010","Marketing en affaires électroniques","Cours sans examen",1810,"Sciences (technologie de l'information), profil sans mémoire","Informatique et technologies de l'information"
"ADM 6030","Gestion des risques en affaires électroniques","Cours sans examen",1810,"Sciences (technologie de l'information), profil sans mémoire","Informatique et technologies de l'information"
"ADM 6052","Transformation numérique organisationnelle","Cours sans examen",1810,"Sciences (technologie de l'information), profil sans mémoire","Informatique et technologies de l'information"
"ENV 6008","Modélisation et systèmes d'aide à la décision en environnement","Cours sans examen",1810,"Sciences (technologie de l'information), profil sans mémoire","Informatique et technologies de l'information"
"INF 6409","Forage de données","Cours sans examen",1810,"Sciences (technologie de l'information), profil sans mémoire","Informatique et technologies de l'information"
"INF 6065","Sécurité des réeaux et des systèmes informatiques","Cours sans examen",1810,"Sciences (technologie de l'information), profil sans mémoire","Informatique et technologies de l'information"
"INF 6070","Technologies sémantiques pour la gestion des connaissances","Cours sans examen",1810,"Sciences (technologie de l'information), profil sans mémoire","Informatique et technologies de l'information"
"INF 6107","Web social","Cours sans examen",1810,"Sciences (technologie de l'information), profil sans mémoire","Informatique et technologies de l'information"
"TED 6520","Environnements d'apprentissage intelligents","Cours sans examen",1810,"Sciences (technologie de l'information), profil sans mémoire","Informatique et technologies de l'information"
"MTI 6012","Travail dirigé","Cours sans examen",1810,"Sciences (technologie de l'information), profil sans mémoire","Informatique et technologies de l'information"
"MTI 6006R","Cours dirigé","Cours sans examen",1810,"Sciences (technologie de l'information), profil sans mémoire","Informatique et technologies de l'information"
"ANG 4005","Effective Written Communication","Cours sans examen",82,"Approfondissement de l'anglais","Lettres et langues"
"ANG 4020","Advanced Written and Oral Productions","Cours sans examen",82,"Approfondissement de l'anglais","Lettres et langues"
"LIN 4002","Contemporary English Canadian Language and Culture","Cours sans examen",82,"Approfondissement de l'anglais","Lettres et langues"
"FRA 3006","Rédaction administrative","Cours sans examen",73,"Perfectionnement en français écrit","Lettres et langues"
"FRA 3008","Écriture en communication","Cours sans examen",73,"Perfectionnement en français écrit","Lettres et langues"
"LIN 2003","Nouvelles pratiques du français","Cours sans examen",73,"Perfectionnement en français écrit","Lettres et langues"
"PHI 2015","Pensée critique et argumentation","Cours sans examen",73,"Perfectionnement en français écrit","Lettres et langues"
"TRA 4035","Reducción de textos","Cours sans examen",9020,"Initiation à la traduction en français et en espagnol","Lettres et langues"
"LIN 3004","Lexicologie et lexicographie de la languye française","Cours sans examen",9020,"Initiation à la traduction en français et en espagnol","Lettres et langues"
"ESP 4010","Redacción especializada en español","Cours sans examen",9020,"Initiation à la traduction en français et en espagnol","Lettres et langues"
"ANG 2001","General Communication","Cours sans examen",81,"Anglais fonctionnel","Lettres et langues"
"ANG 4005","Effective Written Communication","Cours sans examen",81,"Anglais fonctionnel","Lettres et langues"
"LIN 4015","Second Language Learning and Bilingualism","Cours sans examen",502,"Enseignement de l'anglais langue seconde","Lettres et langues"
"LIN 4120","Teaching English as a Secind Language using Communication Technologies","Cours sans examen",502,"Enseignement de l'anglais langue seconde","Lettres et langues"
"LIN 4125","Teaching English as a Secind Language in Schools","Cours sans examen",502,"Enseignement de l'anglais langue seconde","Lettres et langues"
"LIN 4128","Teaching English as a Secind Language to Adults","Cours sans examen",502,"Enseignement de l'anglais langue seconde","Lettres et langues"
"LIN 4130","Reflexive Second Language Teaching","Cours sans examen",502,"Enseignement de l'anglais langue seconde","Lettres et langues"
"ESP 3001","Español intermedio","Cours sans examen",105,Espagnol,"Lettres et langues"
"FRA 2100","Trajets interculturels en français 1","Cours sans examen",229,"Français langue seconde","Lettres et langues"
"FRA 2120","Compétences en frasnçais langue seconde 1","Cours sans examen",229,"Français langue seconde","Lettres et langues"
"FRA 2130","Trajets interculturels en français 2","Cours sans examen",229,"Français langue seconde","Lettres et langues"
"LIT 4001","Littérature de masse","Cours sans examen",114,"Littérature populaire","Lettres et langues"
"LIT 4003","Bandde dessinée et figuration narrative","Cours sans examen",114,"Littérature populaire","Lettres et langues"
"LIT 4004","Littérature pour enfants","Cours sans examen",114,"Littérature populaire","Lettres et langues"
"LIT 4005","Le roman d'amour","Cours sans examen",114,"Littérature populaire","Lettres et langues"
"LIT 4006","Conteurs et nouvelistes québécois :  de Fred Pellerin à Louis Fréchette ","Cours sans examen",114,"Littérature populaire","Lettres et langues"
"LIN 2001","Langue française: histoire générale et spécifique québécoise","Cours sans examen",921,"Sciences du langage","Lettres et langues"
"LIN 3001","Le langage et ses usages","Cours sans examen",921,"Sciences du langage","Lettres et langues"
"LIN 3004","Lexicologie et lexicographie de la languye française","Cours sans examen",921,"Sciences du langage","Lettres et langues"
"ANG 4005","Effective Written Communication","Cours sans examen",4924,"Langue anglaise","Lettres et langues"
"ANG 4020","Advanced Written and Oral Productions","Cours sans examen",4924,"Langue anglaise","Lettres et langues"
"LIN 4002","Contemporary English Canadian Language and Culture","Cours sans examen",4924,"Langue anglaise","Lettres et langues"
"LIN 4015","Second Language Learning and Bilingualism","Cours sans examen",4924,"Langue anglaise","Lettres et langues"
"LIN 4008","Individual Reflective Project","Cours sans examen",4924,"Langue anglaise","Lettres et langues"
"LIN 4125","Teaching English as a Secind Language in Schools","Cours sans examen",4924,"Langue anglaise","Lettres et langues"
"LIN 4128","Teaching English as a Secind Language to Adults","Cours sans examen",4924,"Langue anglaise","Lettres et langues"
"LIN 4130","Reflexive Second Language Teaching","Cours sans examen",4924,"Langue anglaise","Lettres et langues"
"SIM 1001","Stage d'immersion linguistique et interculturelle de langue seconde, à distance","Cours sans examen",4924,"Langue anglaise","Lettres et langues"
"ESP 3001","Español intermedio","Cours sans examen",4652,"Langue et cultures hispaniques","Lettres et langues"
"ESP 4010","Redacción especializada en español","Cours sans examen",4652,"Langue et cultures hispaniques","Lettres et langues"
"ESP 4035","Reducción de textos","Cours sans examen",4652,"Langue et cultures hispaniques","Lettres et langues"
"ESP 4012","Sociolingüística del mundo hispánico","Cours sans examen",4652,"Langue et cultures hispaniques","Lettres et langues"
"LIN 4016","Aprendizaje de una segunda lengua y bilingüismo","Cours sans examen",4652,"Langue et cultures hispaniques","Lettres et langues"
"FRA 3008","Écriture en communication","Cours sans examen",4652,"Langue et cultures hispaniques","Lettres et langues"
"FRA 3008","Écriture en communication","Cours sans examen",4424,"Pratiques rédactionnelles","Lettres et langues"
"SCS 2013","Documentation et rédaction en sciences sociales","Cours sans examen",4424,"Pratiques rédactionnelles","Lettres et langues"
"FRA 3006","Rédaction administrative","Cours sans examen",4424,"Pratiques rédactionnelles","Lettres et langues"
"LIN 2003","Nouvelles pratiques du français","Cours sans examen",4424,"Pratiques rédactionnelles","Lettres et langues"
"LIN 3004","Lexicologie et lexicographie de la languye française","Cours sans examen",4424,"Pratiques rédactionnelles","Lettres et langues"
"PHI 2015","Pensée critique et argumentation","Cours sans examen",4424,"Pratiques rédactionnelles","Lettres et langues"
"ANG 4005","Effective Written Communication","Cours sans examen",4424,"Pratiques rédactionnelles","Lettres et langues"
"ANG 4020","Advanced Written and Oral Productions","Cours sans examen",4424,"Pratiques rédactionnelles","Lettres et langues"
"ESP 4010","Redacción especializada en español","Cours sans examen",4424,"Pratiques rédactionnelles","Lettres et langues"
"TRA 4035","Reducción de textos","Cours sans examen",4424,"Pratiques rédactionnelles","Lettres et langues"
"COM 2001","La nouvelle communication","Cours sans examen",4424,"Pratiques rédactionnelles","Lettres et langues"
"LIT 4003","Bandde dessinée et figuration narrative","Cours sans examen",4424,"Pratiques rédactionnelles","Lettres et langues"
"COM 3023","Déontologie et éthique de la production de l'information","Cours sans examen",4424,"Pratiques rédactionnelles","Lettres et langues"
"LIT 4101","Création littéraire 1: Pastiches et exercices de style","Cours sans examen",6378,"Culture et expressions écrites","Lettres et langues"
"LIT 4102","Création littéraire 2: l'essai","Cours sans examen",6378,"Culture et expressions écrites","Lettres et langues"
"PHI 2015","Pensée critique et argumentation","Cours sans examen",6378,"Culture et expressions écrites","Lettres et langues"
"LIT 4001","Littérature de masse","Cours sans examen",6378,"Culture et expressions écrites","Lettres et langues"
"LIT 4003","Bandde dessinée et figuration narrative","Cours sans examen",6378,"Culture et expressions écrites","Lettres et langues"
"LIT 4004","Littérature pour enfants","Cours sans examen",6378,"Culture et expressions écrites","Lettres et langues"
"LIT 4005","Le roman d'amour","Cours sans examen",6378,"Culture et expressions écrites","Lettres et langues"
"LIT 4006","Conteurs et nouvelistes québécois :  de Fred Pellerin à Louis Fréchette ","Cours sans examen",6378,"Culture et expressions écrites","Lettres et langues"
"ANG 4005","Effective Written Communication","Cours sans examen",6378,"Culture et expressions écrites","Lettres et langues"
"ESP 4010","Redacción especializada en español","Cours sans examen",6378,"Culture et expressions écrites","Lettres et langues"
"FRA 3006","Rédaction administrative","Cours sans examen",6378,"Culture et expressions écrites","Lettres et langues"
"FRA 3007","Rédaction scientifique et technique","Cours sans examen",6378,"Culture et expressions écrites","Lettres et langues"
"FRA 3008","Écriture en communication","Cours sans examen",6378,"Culture et expressions écrites","Lettres et langues"
"LIN 2003","Nouvelles pratiques du français","Cours sans examen",6378,"Culture et expressions écrites","Lettres et langues"
"LIN 3004","Lexicologie et lexicographie de la languye française","Cours sans examen",6378,"Culture et expressions écrites","Lettres et langues"
"SCS 2013","Documentation et rédaction en sciences sociales","Cours sans examen",6378,"Culture et expressions écrites","Lettres et langues"
"TRA 4010","La traduction vers le français : une introduction","Cours sans examen",6378,"Culture et expressions écrites","Lettres et langues"
"TRA 4030","Outils, ressources et environnements d'aide à la traduction","Cours sans examen",6378,"Culture et expressions écrites","Lettres et langues"
"LIN 2001","Langue française: histoire générale et spécifique québécoise","Cours sans examen",6378,"Culture et expressions écrites","Lettres et langues"
"SCI 1021","Sciences, techniques et civilisations: de l'Antiquité à la Rennaissance","Cours sans examen",6378,"Culture et expressions écrites","Lettres et langues"
"LIN 2001","Langue française: histoire générale et spécifique québécoise","Cours sans examen",6632,"Langue et linguistique","Lettres et langues"
"LIN 3001","Le langage et ses usages","Cours sans examen",6632,"Langue et linguistique","Lettres et langues"
"LIN 3004","Lexicologie et lexicographie de la languye française","Cours sans examen",6632,"Langue et linguistique","Lettres et langues"
"LIT 4001","Littérature de masse","Cours sans examen",6632,"Langue et linguistique","Lettres et langues"
